Localidad	Temperatura_meso	ppm	Largo	Ancho 	Alto	Peso_total	Margen_crecimiento	Rigidez	Peso_seco_concha	nano_indentacion	Modulo_elastico	Estres_max	Presion_max
Quintay	15°C	1500ppm	-0.120	0.410	0.400	0.105	0.352	281.840	0.316	0.316	221.372	15.237	0.071
Quintay	15°C	1500ppm	0.450	0.570	-0.180	0.051	0.400	337.580	0.270	0.270	249.307	59.863	0.248
Quintay	10°C	1500ppm	-0.040	-0.200	0.250	0.130	0.630	134.370	0.160	0.160	256.409	320.728	1.279
Quintay	15°C	500ppm	-0.420	-0.010	0.370	0.121	0.644	287.190	0.356	0.356	90.746	6.774	0.070
Quintay	10°C	500ppm	-0.150	0.750	-0.060	0.247	0.656	369.220	0.480	0.480	427.627	199.657	0.482
Quintay	10°C	1500ppm	-0.170	0.410	0.290	0.033	0.824	293.350	0.784	0.784	262.057	117.153	0.451
Quintay	15°C	500ppm	0.280	-0.160	-0.060	0.111	0.394	421.670	0.655	0.655	335.360	204.014	0.628
Quintay	10°C	1500ppm	-0.430	0.340	0.310	0.160	0.542	544.090	0.492	0.492	77.335	8.017	0.074
Quintay	15°C	1500ppm	0.060	0.330	-0.090	0.249	0.776	708.070	0.458	0.458	216.532	16.863	0.079
Quintay	10°C	1500ppm	0.030	-0.370	0.550	0.129	0.624	699.200	0.608	0.608	300.905	62.055	0.211
Quintay	15°C	500ppm	-0.030	0.860	0.510	0.104	0.500	427.110	0.436	0.436	360.995	147.740	0.422
Quintay	15°C	500ppm	0.010	0.450	-0.230	0.151	0.406	204.150	0.349	0.349	141.693	12.520	0.086
Quintay	10°C	1500ppm	-3.160	2.480	2.390	0.183	0.590	628.000	0.344	0.344	286.893	281.388	1.016
Quintay	15°C	1500ppm	-0.120	0.540	0.540	0.103	0.754	590.320	0.312	0.312	277.735	125.304	0.460
Quintay	10°C	500ppm	-0.130	-0.250	0.050	0.048	0.282	360.260	0.317	0.317	597.919	134.532	0.236
Quintay	10°C	1500ppm	-0.020	-0.060	-0.370	0.140	0.658	260.770	0.075	0.075	177.238	34.064	0.191
Quintay	10°C	500ppm	-0.100	0.010	0.200	0.391	0.710	473.820	0.462	0.462	138.864	9.042	0.064
Quintay	15°C	500ppm	-0.180	-0.380	0.280	0.181	0.438	452.130	0.732	0.732	353.837	305.966	0.873
Quintay	10°C	500ppm	0.020	1.210	0.080	0.152	0.434	228.990	0.485	0.485	148.784	167.872	1.158
Quintay	10°C	1500ppm	0.520	1.320	0.890	0.169	0.498	579.200	0.373	0.373	221.439	79.505	0.367
Quintay	15°C	500ppm	0.170	0.510	0.010	0.021	0.392	410.240	0.421	0.421	378.811	275.843	0.788
Quintay	15°C	1500ppm	0.080	1.200	-0.400	0.060	0.334	312.580	0.164	0.164	91.632	17.456	0.186
Quintay	15°C	500ppm	0.300	0.480	0.230	-0.037	0.730	563.650	0.099	0.099	439.214	330.097	0.792
Quintay	15°C	500ppm	-0.920	0.340	1.030	0.289	0.426	96.257	0.471	0.471	395.452	267.528	0.704
Quintay	15°C	500ppm	0.480	1.130	-0.260	0.076	0.422	452.850	0.263	0.263	140.287	14.522	0.096
Quintay	10°C	500ppm	0.070	0.520	-0.330	0.035	0.548	389.680	0.143	0.143	319.576	325.778	1.052
Quintay	10°C	500ppm	-0.010	-0.270	-0.220	0.126	0.468	325.320	0.288	0.288	126.012	173.937	1.410
Quintay	10°C	500ppm	-0.550	0.210	0.710	0.215	0.562	493.760	0.544	0.544	149.158	33.418	0.220
Quintay	15°C	1500ppm	-0.430	0.160	0.390	0.138	0.466	265.330	0.459	0.459	301.635	81.204	0.274
Quintay	15°C	1500ppm	0.230	0.450	0.410	0.120	0.688	433.190	0.168	0.168	136.583	5.097	0.033
Quintay	10°C	500ppm	0.330	0.080	0.570	0.057	0.470	362.670	0.438	0.438	479.450	199.096	0.435
Quintay	10°C	1500ppm	-0.480	1.110	-0.470	0.069	0.446	669.080	0.512	0.512	271.842	102.100	0.397
Quintay	15°C	1500ppm	0.060	1.250	0.610	0.066	0.366	275.120	0.217	0.217	138.628	30.332	0.201
Quintay	10°C	500ppm	0.000	0.440	0.750	0.103	0.332	439.870	0.115	0.115	296.029	313.003	1.093
Quintay	10°C	500ppm	-0.520	0.180	0.520	0.163	0.702	149.710	0.239	0.239	53.672	16.237	0.292
Chiloe	10°C	500ppm	0.400	0.210	0.020	0.001	0.322	159.172	0.127	0.127	533.752	38.240	0.074
Chiloe	10°C	500ppm	0.040	-0.280	0.170	0.007	0.418	391.080	0.224	0.224	429.905	84.165	0.201
Chiloe	10°C	500ppm	0.070	0.530	0.030	0.022	0.312	467.655	0.092	0.092	535.589	39.705	0.076
Chiloe	10°C	500ppm	0.060	0.390	0.610	0.013	0.224	524.610	0.061	0.061	645.202	88.041	0.141
Chiloe	10°C	500ppm	0.220	0.280	0.080	0.006	0.292	177.391	0.078	0.078	414.029	78.796	0.190
Chiloe	10°C	500ppm	0.030	0.370	0.070	0.014	0.278	694.028	0.067	0.067	274.336	21.633	0.081
Chiloe	10°C	500ppm	0.060	0.150	0.570	0.002	0.372	293.081	0.126	0.126	659.626	114.785	0.180
Chiloe	10°C	500ppm	0.000	0.040	0.020	0.007	0.250	236.579	0.156	0.156	874.893	166.048	0.195
Chiloe	10°C	500ppm	0.130	0.590	0.640	0.019	0.192	396.523	0.092	0.092	574.794	78.503	0.144
Chiloe	10°C	500ppm	0.130	0.210	1.010	-0.003	0.352	389.717	0.069	0.069	364.872	25.154	0.073
Chiloe	10°C	500ppm	0.350	0.460	1.120	0.006	0.198	287.862	0.074	0.074	473.241	70.751	0.155
Chiloe	10°C	500ppm	0.130	0.300	0.840	0.007	0.464	496.613	0.044	0.044	310.392	39.058	0.125
Chiloe	10°C	500ppm	0.050	0.120	0.280	0.005	0.244	258.254	0.103	0.103	418.928	28.856	0.072
Chiloe	10°C	500ppm	0.000	0.450	-1.740	0.000	0.296	234.871	0.078	0.078	135.600	9.892	0.074
Chiloe	10°C	500ppm	0.030	-0.180	0.360	-0.010	0.390	248.063	0.135	0.135	301.047	42.050	0.136
Chiloe	10°C	500ppm	0.390	0.630	0.150	0.008	0.398	588.795	0.202	0.202	358.504	31.020	0.090
Chiloe	10°C	500ppm	0.100	0.390	0.800	0.006	0.242	406.699	0.117	0.117	656.565	107.107	0.173
Chiloe	10°C	500ppm	0.250	1.260	0.480	0.002	0.218	433.943	0.090	0.090	502.004	86.219	0.176
Chiloe	10°C	500ppm	0.130	0.290	1.080	0.013	0.254	209.310	0.042	0.042	125.821	12.344	0.101
Chiloe	10°C	500ppm	0.000	0.910	0.590	0.021	0.222	137.480	0.074	0.074	243.775	20.218	0.086
Chiloe	10°C	500ppm	0.060	0.290	0.230	0.010	0.318	411.968	0.066	0.066	156.765	19.849	0.129
Chiloe	10°C	500ppm	0.100	0.170	0.550	0.015	0.384	460.794	0.121	0.121	796.044	82.046	0.113
Chiloe	10°C	500ppm	0.060	0.630	0.030	0.290	0.416	379.222	0.145	0.145	653.411	117.322	0.175
Chiloe	10°C	500ppm	0.230	1.090	0.720	0.004	0.288	347.210	0.190	0.190	382.445	41.892	0.113
Chiloe	10°C	500ppm	0.100	0.940	0.930	0.053	0.384	510.934	0.100	0.100	116.344	12.065	0.112
Chiloe	10°C	500ppm	0.050	0.370	0.670	0.009	0.298	214.011	0.079	0.079	374.637	19.423	0.052
Chiloe	10°C	500ppm	0.120	0.740	0.530	-0.001	0.212	315.210	0.063	0.063	299.319	19.564	0.068
Chiloe	10°C	500ppm	0.110	0.560	0.290	0.009	0.258	507.531	0.079	0.079	172.575	31.819	0.185
Chiloe	10°C	1500ppm	-0.170	0.200	0.170	0.005	0.354	270.290	0.073	0.073	549.684	63.642	0.121
Chiloe	10°C	1500ppm	0.170	0.570	-0.250	0.007	0.280	250.825	0.170	0.170	781.713	123.300	0.163
Chiloe	10°C	1500ppm	0.060	0.020	0.370	0.011	0.268	241.769	0.138	0.138	784.074	194.962	0.254
Chiloe	10°C	1500ppm	0.160	1.150	0.690	0.006	0.252	261.269	0.118	0.118	276.854	19.743	0.074
Chiloe	10°C	1500ppm	0.110	0.310	0.510	-0.008	0.248	285.178	0.096	0.096	521.912	71.153	0.141
Chiloe	10°C	1500ppm	0.090	0.870	0.140	0.014	0.222	402.160	0.056	0.056	204.342	17.004	0.088
Chiloe	10°C	1500ppm	0.110	-0.150	0.060	0.001	0.292	258.027	0.116	0.116	226.193	24.681	0.116
Chiloe	10°C	1500ppm	0.110	0.360	0.660	0.006	0.326	173.543	0.184	0.184	344.596	27.872	0.083
Chiloe	10°C	1500ppm	0.120	0.890	0.470	0.010	0.236	293.203	0.136	0.136	367.197	28.305	0.083
Chiloe	10°C	1500ppm	0.030	0.190	0.670	0.002	0.190	244.052	0.086	0.086	314.192	28.270	0.095
Chiloe	10°C	1500ppm	0.070	0.170	0.880	0.005	0.266	388.322	0.032	0.032	407.069	95.766	0.237
Chiloe	10°C	1500ppm	0.130	0.260	0.430	0.010	0.254	454.116	0.078	0.078	251.114	16.529	0.069
Chiloe	10°C	1500ppm	0.010	0.220	0.470	-0.013	0.380	394.899	0.176	0.176	377.104	33.224	0.090
Chiloe	10°C	1500ppm	0.000	0.210	0.500	-0.003	0.270	240.923	0.136	0.136	478.654	60.656	0.131
Chiloe	10°C	1500ppm	0.030	1.250	0.540	0.001	0.456	234.325	0.100	0.100	184.685	18.857	0.110
Chiloe	10°C	1500ppm	0.150	0.450	0.380	0.000	0.262	346.146	0.092	0.092	560.918	55.319	0.102
Chiloe	10°C	1500ppm	0.030	0.530	0.500	0.001	0.214	363.943	0.065	0.065	716.742	125.176	0.185
Chiloe	10°C	1500ppm	0.030	0.230	0.540	0.001	0.294	360.671	0.111	0.111	253.998	28.225	0.113
Chiloe	10°C	1500ppm	0.010	0.020	0.140	0.002	0.380	346.479	0.073	0.073	500.522	37.520	0.078
Chiloe	10°C	1500ppm	0.100	0.150	0.190	-0.276	0.370	402.207	0.132	0.132	852.795	91.417	0.114
