Localidad	Temperatura_meso	ppm	Largo	Ancho 	Alto	Peso_total	Margen_crecimiento	Rigidez	Peso_seco_concha	nano_indentacion	Modulo_elastico	Estres_max	Presion_max
Talcaruca	15°C	1500ppm	0.350	1.030	4.720	0.032	0.288	327.131	0.122	0.122	498.714	63.856	0.134
Talcaruca	10°C	500ppm	0.070	0.600	0.520	0.029	0.328	309.138	0.108	0.108	496.365	78.185	0.164
Talcaruca	10°C	500ppm	0.140	1.540	1.180	0.023	0.300	349.710	0.088	0.088	421.215	33.033	0.079
Talcaruca	10°C	500ppm	1.770	4.920	1.900	0.007	0.266	90.080	0.076	0.076	510.373	30.369	0.060
Talcaruca	10°C	1500ppm	0.090	0.840	0.370	0.035	0.234	194.583	0.088	0.088	432.326	87.727	0.205
Talcaruca	10°C	1500ppm	0.050	0.510	0.130	0.000	0.298	334.702	0.074	0.074	261.197	14.639	0.055
Talcaruca	10°C	1500ppm	0.060	0.530	0.010	0.026	0.310	206.291	0.062	0.062	296.908	61.370	0.198
Talcaruca	10°C	1500ppm	0.360	0.430	0.420	0.023	0.264	225.894	0.072	0.072	138.904	14.618	0.103
Talcaruca	15°C	500ppm	0.270	0.150	0.940	0.060	0.302	203.480	0.086	0.086	427.562	49.168	0.116
Talcaruca	15°C	500ppm	0.060	0.450	0.230	0.032	0.304	309.093	0.068	0.068	406.797	45.366	0.116
Talcaruca	15°C	500ppm	0.060	1.190	0.100	0.005	0.286	349.461	0.082	0.082	308.560	28.364	0.091
Talcaruca	15°C	1500ppm	0.190	1.480	0.490	0.010	0.316	389.663	0.077	0.077	359.637	45.620	0.121
Talcaruca	15°C	1500ppm	0.170	0.130	0.390	0.019	0.304	480.459	0.097	0.097	608.598	113.512	0.182
Talcaruca	15°C	1500ppm	0.650	0.110	0.090	-0.007	0.304	60.237	0.144	0.144	639.092	64.119	0.104
Talcaruca	15°C	1500ppm	0.070	0.170	0.240	0.058	0.296	516.294	0.124	0.124	434.097	26.488	0.060
Talcaruca	10°C	500ppm	0.010	0.320	0.090	0.028	0.304	441.865	0.114	0.114	540.536	72.526	0.138
Talcaruca	10°C	500ppm	-0.520	1.180	0.060	0.032	0.270	222.517	0.055	0.055	336.091	27.837	0.082
Talcaruca	10°C	500ppm	0.620	0.560	-0.030	0.020	0.326	231.167	0.047	0.047	314.918	21.688	0.068
Talcaruca	10°C	500ppm	0.090	0.370	0.140	0.039	0.312	347.742	0.056	0.056	189.493	10.468	0.053
Talcaruca	10°C	1500ppm	0.400	0.140	0.020	0.029	0.260	278.415	0.076	0.076	686.831	132.422	0.203
Talcaruca	10°C	1500ppm	0.120	0.990	0.400	0.033	0.296	207.756	0.072	0.072	451.684	53.515	0.118
Talcaruca	10°C	1500ppm	0.510	0.590	0.980	0.023	0.250	426.664	0.081	0.081	768.998	65.822	0.089
Talcaruca	10°C	1500ppm	0.360	0.900	-0.180	0.017	0.302	19.024	0.062	0.062	364.719	25.621	0.072
Talcaruca	15°C	500ppm	0.460	0.680	0.300	0.014	0.300	387.812	0.058	0.058	555.284	40.093	0.076
Talcaruca	15°C	500ppm	0.050	0.350	0.570	0.022	0.292	394.585	0.035	0.035	181.533	14.411	0.078
Talcaruca	15°C	1500ppm	0.930	1.070	0.220	0.014	0.260	281.803	0.053	0.053	677.642	81.210	0.126
Talcaruca	15°C	1500ppm	0.120	1.240	-0.340	0.001	0.274	193.240	0.042	0.042	517.628	85.760	0.171
Talcaruca	15°C	1500ppm	0.290	0.260	0.280	0.008	0.210	48.362	0.041	0.041	667.357	287.349	0.452
Talcaruca	15°C	1500ppm	0.220	-0.080	0.680	0.006	0.290	390.246	0.031	0.031	372.028	41.749	0.115
Talcaruca	10°C	500ppm	0.250	0.660	0.090	0.039	0.320	231.342	0.034	0.034	282.353	12.938	0.047
Talcaruca	10°C	500ppm	0.030	0.240	0.480	0.052	0.372	443.422	0.207	0.207	549.324	31.293	0.059
Talcaruca	10°C	500ppm	-1.550	0.260	-0.120	0.048	0.374	223.005	0.262	0.262	1166.452	147.559	0.130
Talcaruca	10°C	500ppm	0.610	0.820	0.040	0.041	0.328	326.143	0.296	0.296	1520.651	306.902	0.207
Talcaruca	10°C	1500ppm	0.210	1.650	0.090	0.029	0.286	267.390	0.264	0.264	782.995	78.396	0.102
Talcaruca	10°C	1500ppm	2.050	1.900	0.300	0.061	0.302	248.117	0.179	0.179	455.625	32.911	0.075
Talcaruca	10°C	1500ppm	0.100	0.170	0.380	-0.010	0.362	324.986	0.236	0.236	671.939	72.804	0.111
Talcaruca	10°C	1500ppm	0.530	0.770	1.210	0.026	0.306	211.211	0.221	0.221	637.487	116.181	0.189
Talcaruca	15°C	500ppm	0.590	0.520	0.150	0.043	0.374	282.189	0.207	0.207	918.273	226.376	0.255
Talcaruca	15°C	500ppm	0.210	0.070	0.280	0.032	0.348	161.985	0.268	0.268	792.413	99.661	0.129
Talcaruca	15°C	500ppm	2.610	2.060	2.240	-0.055	0.444	625.025	0.219	0.219	439.835	47.503	0.112
Talcaruca	15°C	500ppm	2.610	0.220	1.580	0.049	0.392	280.120	0.265	0.265	626.846	66.969	0.108
Talcaruca	15°C	1500ppm	0.260	-0.190	1.500	0.362	0.390	395.150	0.241	0.241	513.966	60.161	0.122
Talcaruca	15°C	1500ppm	0.130	1.810	1.190	-0.032	0.356	561.701	0.214	0.214	512.570	49.326	0.095
Talcaruca	10°C	500ppm	0.110	0.390	0.350	-0.004	0.306	485.285	0.256	0.256	487.158	61.247	0.124
Talcaruca	10°C	500ppm	0.060	0.540	0.370	0.031	0.326	501.576	0.109	0.109	461.459	413.374	0.923
Talcaruca	10°C	500ppm	0.060	1.360	-0.340	0.013	0.354	331.445	0.137	0.137	642.897	161.843	0.262
Talcaruca	10°C	500ppm	-0.040	-0.010	0.850	0.012	0.296	207.067	0.114	0.114	735.033	412.243	0.583
Talcaruca	10°C	1500ppm	0.180	0.170	0.100	0.029	0.284	225.619	0.087	0.087	911.451	108.122	0.121
Talcaruca	10°C	1500ppm	0.250	1.120	1.710	0.072	0.330	226.314	0.105	0.105	289.823	26.627	0.091
Talcaruca	10°C	1500ppm	0.320	1.570	0.080	0.012	0.264	432.066	0.138	0.138	495.056	35.359	0.074
Talcaruca	10°C	1500ppm	0.870	2.230	0.300	0.034	0.278	290.834	0.113	0.113	536.544	60.323	0.114
Talcaruca	15°C	500ppm	0.290	0.870	0.160	0.046	0.276	194.011	0.127	0.127	746.078	80.792	0.115
Talcaruca	15°C	500ppm	0.280	0.880	0.160	0.049	0.334	214.559	0.096	0.096	607.477	92.458	0.159
Talcaruca	15°C	500ppm	0.170	0.340	0.210	0.024	0.336	355.478	0.103	0.103	468.002	25.608	0.056
Talcaruca	15°C	500ppm	0.060	1.000	0.130	-0.051	0.348	383.992	0.118	0.118	565.860	105.728	0.197
Talcaruca	15°C	1500ppm	0.080	0.940	-0.040	0.011	0.268	322.211	0.097	0.097	459.097	41.101	0.094
Talcaruca	15°C	1500ppm	0.130	0.250	0.270	0.041	0.314	290.712	0.101	0.101	558.783	72.633	0.129
Talcaruca	15°C	1500ppm	0.260	1.050	0.020	0.010	0.292	245.970	0.110	0.110	848.371	111.006	0.134
Talcaruca	15°C	1500ppm	0.210	1.840	0.590	0.037	0.302	246.134	0.125	0.125	566.190	45.195	0.082
Talcaruca	10°C	500ppm	0.100	0.550	0.050	0.011	0.316	214.114	0.127	0.127	296.078	17.478	0.055
Talcaruca	10°C	500ppm	-0.010	0.500	0.040	0.018	0.356	345.344	0.087	0.087	924.818	195.610	0.222
Talcaruca	10°C	500ppm	-0.010	0.070	0.610	0.006	0.274	353.251	0.091	0.091	811.144	245.654	0.315
Talcaruca	10°C	500ppm	0.100	0.260	0.080	-0.003	0.288	187.197	0.063	0.063	416.097	32.898	0.079
Talcaruca	10°C	1500ppm	0.100	0.210	0.500	0.017	0.264	355.891	0.090	0.090	655.185	219.555	0.348
Talcaruca	10°C	1500ppm	-0.050	0.030	0.660	0.026	0.272	213.580	0.108	0.108	725.107	81.023	0.116
Talcaruca	10°C	1500ppm	0.120	0.680	0.280	0.003	0.226	312.611	0.065	0.065	516.532	29.180	0.057
Talcaruca	10°C	1500ppm	0.160	1.200	0.780	0.013	0.258	233.094	0.071	0.071	166.035	9.968	0.058
Talcaruca	15°C	500ppm	0.280	0.520	0.580	0.021	0.294	224.644	0.082	0.082	395.219	21.884	0.054
Talcaruca	15°C	500ppm	0.400	0.050	1.200	0.057	0.272	267.335	0.076	0.076	305.947	28.097	0.092
Talcaruca	15°C	500ppm	0.060	0.150	0.120	0.006	0.372	457.696	0.141	0.141	950.838	217.786	0.237
Talcaruca	15°C	500ppm	1.570	0.350	1.040	0.067	0.344	304.991	0.146	0.146	602.501	61.750	0.105
Talcaruca	15°C	1500ppm	0.040	0.270	0.340	0.048	0.308	271.049	0.161	0.161	646.312	32.472	0.052
Talcaruca	15°C	1500ppm	1.280	0.900	-0.410	0.011	0.392	207.102	0.143	0.143	260.938	13.181	0.050
Talcaruca	15°C	1500ppm	0.340	0.400	-0.010	0.029	0.280	295.722	0.189	0.189	862.029	154.631	0.187
Talcaruca	15°C	1500ppm	0.070	1.080	0.270	0.029	0.298	202.030	0.101	0.101	820.956	112.834	0.138
Talcaruca	10°C	500ppm	0.310	0.150	0.820	0.021	0.276	389.706	0.151	0.151	695.365	94.682	0.135
Talcaruca	10°C	500ppm	0.420	1.270	0.660	0.002	0.290	431.107	0.061	0.061	421.832	37.209	0.089
Talcaruca	10°C	500ppm	0.290	2.090	-0.260	-0.012	0.292	265.823	0.058	0.058	649.419	59.883	0.096
Talcaruca	10°C	1500ppm	0.230	0.540	1.570	0.014	0.392	335.484	0.054	0.054	261.490	17.261	0.067
Talcaruca	10°C	1500ppm	0.480	0.320	3.080	0.010	0.232	96.253	0.076	0.076	564.242	48.967	0.091
Talcaruca	15°C	500ppm	0.120	-0.010	0.240	0.028	0.336	209.202	0.057	0.057	482.302	39.858	0.086
Talcaruca	15°C	500ppm	0.300	-0.270	0.250	0.019	0.280	112.920	0.052	0.052	527.121	52.591	0.104
Talcaruca	15°C	500ppm	0.310	1.150	0.510	-0.004	0.302	236.665	0.059	0.059	586.430	91.761	0.161
Talcaruca	15°C	1500ppm	0.320	1.110	-0.070	0.012	0.308	379.005	0.065	0.065	386.351	51.897	0.128
Talcaruca	15°C	1500ppm	0.160	0.650	-0.850	0.008	0.272	322.708	0.058	0.058	670.447	123.017	0.191
Talcaruca	15°C	1500ppm	0.080	0.640	0.560	0.022	0.300	375.282	0.060	0.060	283.692	21.698	0.077
Talcaruca	15°C	1500ppm	0.460	0.390	0.630	0.012	0.258	399.509	0.049	0.049	397.928	22.682	0.055
