Localidad	Temperatura	ppm	Peso_bollante	Volumen cm	Largo	Ancho 	Alto	Peso_total	Margen_crecimiento	Peso_seco_concha	Pseco_mb	Peso_libre_ceniza	r3	pendiente	extensión_max	carga_max	ph Promedio (25°C)	Salinidad	Temperatura 	Alcalinidad_total (µmol kg-1)	pCO2 (µatm)	Ωcalcita	Ωaragonita
Quintay	15°C	500ppm	0.0039	-4.832257826	0.290	0.270	0.690	0.023	0.892	0.488	0.0159	0.0031	0.9298	323	0.59094	235	8.05625	32.85	15.4	2000.759724	168.5671006	3.183660021	1.992227954
Quintay	10°C	1500ppm	-0.004	-7.885775527	0.010	0.770	0.390	0.173	0.702	0.539	0.0254	0.0054	0.9509	225	0.80656	215	7.80025	32.3	10.9	1935.465082	389.0110505	1.553954128	0.971130679
Quintay	10°C	1500ppm	-0.0011	0.025391966	0.140	-0.040	0.100	0.120	0.468	0.366	0.0197	0.0044	0.9787	426	0.12203	48	7.651	32.575	10.6	1961.586601	584.8597216	1.125344904	0.703747441
Quintay	10°C	500ppm	0.0043	-0.805088966	-0.190	0.110	0.220	0.033	0.346	0.066	0.004	0.0009	0.9921	409	0.11329	43	8.0535	32.525	11	2368.609249	243.3554079	3.28546813	2.054358274
Quintay	15°C	500ppm	0.0352	-8.017828813	-0.860	-0.310	1.320	0.122	0.390	0.254	0.0187	0.0026	0.9527	180	0.11391	20	8.12675	32.825	14.7	2302.453653	164.7090106	4.146071769	2.594322945
Quintay	10°C	1500ppm	0.0087	-9.185653427	-3.190	0.400	0.620	0.107	0.490	0.206	0.0067	0.0021	0.9898	416	0.13453	50	7.644875	32.7	10.8	2280.69447	685.9616945	1.30573925	0.816801918
Quintay	15°C	500ppm	0.0286	-4.165651442	1.590	0.190	1.660	-0.083	0.358	0.216	0.0163	0.0027	0.9615	536	0.135	63	8.043625	32	15	2264.615624	202.6174971	3.452765591	2.156137053
Quintay	10°C	500ppm	-0.0015	-0.760154813	-0.040	-0.090	0.150	0.230	0.582	0.594	0.0324	0.007	0.8743	156	0.20515	31	8.0535	32.525	11	2358.300487	242.2844569	3.270531312	2.045018486
Quintay	10°C	500ppm	0.004	-3.36578911	0.220	0.100	0.590	0.107	0.584	0.399	0.0228	0.0038	0.9903	601	0.24516	126	7.982125	32.95	10.4	1931.399445	244.7545975	2.26752194	1.419264925
Quintay	10°C	1500ppm	-0.0014	-2.798194044	-0.070	-0.090	0.380	0.090	0.540	0.533	0.01	0.0014	0.9316	328	0.19547	59	7.65275	32.975	10.8	2287.169168	673.017762	1.340074243	0.838813711
Quintay	10°C	1500ppm	0.0275	-4.859192662	0.150	-0.160	0.830	0.196	0.414	0.409	0.0271	0.0037	0.9887	665	0.09969	65	7.65275	32.975	10.8	2286.169785	672.7217027	1.339477404	0.838440122
Quintay	10°C	500ppm	0.0241	-3.992443181	-0.130	0.480	0.330	0.115	0.350	0.209	0.0171	0.0034	0.9489	185	0.15859	31	7.982125	32.95	10.4	1942.010413	246.1178699	2.280556483	1.427423377
Quintay	15°C	500ppm	0.025	-4.204009515	-0.650	-0.240	0.570	0.079	0.684	0.532	0.0273	0.0049	0.8804	515	0.17125	84	8.1435	31.05	15.8	2374.753605	157.175235	4.452848914	2.773443425
Quintay	10°C	1500ppm	0.0123	-7.549479392	-0.230	-0.320	1.680	0.095	0.612	0.376	0.0215	0.0031	0.9706	793	0.21125	154	7.65275	32.975	10.8	2286.169785	672.7217027	1.339477404	0.838440122
Quintay	10°C	1500ppm	0.0191	-1.851458882	-0.460	0.360	-0.010	0.057	0.392	0.158	0.012	0.0017	0.8467	293	0.27703	81	7.644	32.925	10.9	2286.172588	685.6908819	1.316155017	0.823747747
Quintay	15°C	1500ppm	-0.0005	7.730166129	0.100	-0.450	-0.570	0.190	0.622	0.642	0.0184	0.0029	0.9822	768	0.16063	111	7.73025	32.35	15.4	2008.235912	407.8594569	1.601591903	1.001025551
Quintay	15°C	1500ppm	-0.0004	1.857864775	-0.090	-0.310	-0.100	0.183	0.498	0.319	0.0029	0.0002	0.9729	489	0.18797	83	7.74225	32.85	15.5	2314.494556	452.264378	1.928318278	1.20667708
Quintay	15°C	500ppm	0.0054	-3.835607968	0.230	0.380	0.400	0.205	0.626	0.399	0.0207	0.0044	0.8761	226	0.535	149	8.019875	32.4	15.23	2351.340861	221.6245718	3.471622465	2.170097568
Quintay	15°C	1500ppm	0.02	-7.997918743	-0.620	0.240	0.570	0.076	0.594	0.537	0.026	0.0048	0.9052	240	0.75281	222	7.73575	31.95	15.3	2308.247401	465.3445189	1.85227128	1.156531885
