Localidad	Temperatura	ppm	Peso_bollante	Volumen cm	Largo	Ancho 	Alto	Peso_total	Margen_crecimiento	Peso_seco_concha	Pseco_mb	Peso_libre_ceniza	r3	pendiente	extensión_max	carga_max	ph Promedio (25°C)	Salinidad	Temperatura 	Alcalinidad_total (µmol kg-1)	pCO2 (µatm)	Ωcalcita	Ωaragonita
Chiloé	10°C	500ppm	0.0062	3.025291027	0.130	0.290	1.080	0.013	0.254	0.074	0.0116	0.0014	0.98113	137	0.09828	14	7.937	30.87	11.19	3607.929733	727.2231326	4.555709065	2.877643348
Chiloé	10°C	500ppm	0.0034	2.461204011	0.000	0.910	0.590	0.021	0.222	0.066	0.0068	0.0007	0.90595	412	0.10531	43	7.937	30.87	11.19	2440.439834	490.4181459	3.049521555	1.926250182
Chiloé	10°C	500ppm	0.014	1.494855027	0.060	0.290	0.230	0.010	0.318	0.121	0.0162	0.0009	0.95664	461	0.16125	79	7.937	30.87	11.19	3423.130557	689.7620974	4.317165812	2.726965946
Chiloé	10°C	500ppm	0.0049	2.280151946	0.100	0.170	0.550	0.015	0.384	0.145	0.0145	0.0014	0.98527	379	0.09656	39	7.937	30.87	11.19	2486.665072	499.8023547	3.109108282	1.963888527
Chiloé	10°C	500ppm	0.0023	2.049535776	0.060	0.630	0.030	0.290	0.416	0.190	0.0232	0.0022	0.81957	347	0.22844	76	7.937	30.87	11.19	3979.821549	802.5931038	5.035857696	3.180932362
Chiloé	10°C	500ppm	0.0023	3.074712283	0.230	1.090	0.720	0.004	0.288	0.100	0.0086	0.0008	0.94018	511	0.15765	80	7.937	30.87	11.19	2405.764693	483.3781102	3.004827156	1.898018673
Chiloé	10°C	500ppm	0.0237	2.954584507	0.100	0.940	0.930	0.053	0.384	0.079	0.0049	1E-04	0.88209	214	0.1975	42	7.937	30.87	11.19	4155.348465	838.1598067	5.262520189	3.324105205
Chiloé	10°C	500ppm	0.0043	1.867058737	0.050	0.370	0.670	0.009	0.298	0.063	0.0052	0.0008	0.94648	315	0.07734	26	7.937	30.87	11.19	3019.735276	607.9644367	3.796599736	2.398146988
Chiloé	10°C	500ppm	0.0034	2.557396613	0.120	0.740	0.530	-0.001	0.212	0.079	0.0093	0.001	0.93551	508	0.12156	57	7.937	30.87	11.19	2969.165676	597.7074997	3.731358216	2.356936757
Chiloé	10°C	500ppm	0.0059	1.402420335	0.110	0.560	0.290	0.009	0.258	0.073	0.0081	0.0005	0.90842	270	0.16265	43	7.937	30.87	11.19	2146.492518	430.7197137	2.670750188	1.686996778
Chiloé	10°C	1500ppm	-0.0066	0.812099456	-0.170	0.200	0.170	0.005	0.354	0.170	0.0189	0.002	0.79995	251	0.16828	43	7.604	30.90	10.03	2982.290596	1397.41339	1.754625971	1.106147685
Chiloé	10°C	1500ppm	0.0023	1.047499227	0.170	0.570	-0.250	0.007	0.280	0.138	0.014	0.0012	0.96442	242	0.13781	38	7.604	30.90	10.03	2869.607721	1344.157813	1.687762441	1.063995717
Chiloé	10°C	1500ppm	0.0047	1.234155648	0.060	0.020	0.370	0.011	0.268	0.118	0.0122	0.0012	0.90305	261	0.09703	26	7.604	30.90	10.03	3385.263655	1587.864546	1.993741048	1.256890119
Chiloé	10°C	1500ppm	0.0019	4.003489952	0.160	1.150	0.690	0.006	0.252	0.096	0.0109	0.0011	1	285	0	28	7.604	30.90	10.03	3280.806517	1538.496499	1.931758582	1.217815261
Chiloé	10°C	1500ppm	-0.0038	1.267669831	0.110	0.310	0.510	-0.008	0.248	0.056	0.0053	0.0009	1	402	0	49	7.604	30.90	10.03	3465.620488	1625.84243	2.041422933	1.286949635
Chiloé	10°C	1500ppm	0.0044	2.302814707	0.090	0.870	0.140	0.014	0.222	0.088	0.009	0.0007	0.92369	67	0.19484	15	7.604	30.90	10.03	3383.237446	1586.906928	1.992538742	1.256132164
Chiloé	10°C	1500ppm	0.004	-0.426653654	0.050	-0.360	0.120	0.006	0.186	0.116	0.0167	0.0018	0.75161	258	0.26344	73	7.604	30.90	10.03	3872.070298	1817.937027	2.282600691	1.43899242
Chiloé	10°C	1500ppm	0.0031	0.021707532	0.110	-0.150	0.060	0.001	0.292	0.184	0.0221	0.0017	0.98065	174	0.1789	29	7.604	30.90	10.03	4132.504503	1941.022434	2.437136112	1.536414321
Chiloé	10°C	1500ppm	-0.0004	2.918696359	0.110	0.360	0.660	0.006	0.326	0.136	0.0092	0.0005	0.95324	293	0.12781	37	7.604	30.90	10.03	2982.290596	1397.41339	1.754625971	1.106147685
Chiloé	10°C	1500ppm	0.0024	2.85965766	0.120	0.890	0.470	0.010	0.236	0.086	0.0083	0.0003	0.72627	244	0.14969	40	7.604	30.90	10.03	2869.607721	1344.157813	1.687762441	1.063995717
Chiloé	10°C	1500ppm	0.0008	0.950853921	0.030	0.190	0.670	0.002	0.190	0.032	0.0024	0	1	388	0	28	7.604	30.90	10.03	3385.263655	1587.864546	1.993741048	1.256890119
Chiloé	10°C	1500ppm	0.0019	2.083332224	0.070	0.170	0.880	0.005	0.266	0.078	0.0073	0.0007	0.97575	454	0.10781	50	7.604	30.90	10.03	3280.806517	1538.496499	1.931758582	1.217815261
Chiloé	10°C	1500ppm	0.0052	1.53359978	0.130	0.260	0.430	0.010	0.254	0.078	0.0082	0.0001	0.99098	254	0.1439	35	7.604	30.90	10.03	3465.620488	1625.84243	2.041422933	1.286949635
Chiloé	10°C	1500ppm	0.0001	5.796302342	0.020	1.200	0.760	0.016	0.390	0.176	0.0152	0.0016	0.88059	395	0.16187	63	7.604	30.90	10.03	3712.996815	1742.756365	2.188210256	1.379486996
Chiloé	10°C	1500ppm	0.0002	1.907395596	0.010	0.220	0.470	-0.013	0.380	0.136	0.0137	0.0013	0.63042	241	0.22609	58	7.604	30.90	10.03	3787.194436	1777.823339	2.23223737	1.407242479
Chiloé	10°C	1500ppm	0.0027	1.694788122	0.000	0.210	0.500	-0.003	0.270	0.100	0.0083	0.0011	1	234	0	25	7.604	30.90	10.03	3872.070298	1817.937027	2.282600691	1.43899242
Chiloé	10°C	1500ppm	0.0021	2.668266329	0.030	1.250	0.540	0.001	0.456	0.092	0.0051	0.0003	0.90689	346	0.17875	57	7.604	30.90	10.03	4132.504503	1941.022434	2.437136112	1.536414321
Chiloé	10°C	1500ppm	0.0017	1.487292902	0.150	0.450	0.380	0.000	0.262	0.065	0.0058	0.0001	0.99303	364	0.13078	50	7.604	30.90	10.03	2982.290596	1397.41339	1.754625971	1.106147685
Chiloé	10°C	1500ppm	0.0008	3.090173894	0.080	0.860	0.590	0.003	0.396	0.111	0.0076	0.0006	0.9784	361	0.16219	56	7.604	30.90	10.03	3385.263655	1587.864546	1.993741048	1.256890119
Chiloé	10°C	1500ppm	0.001	1.406200477	0.030	0.230	0.540	0.001	0.294	0.073	0.0062	0.0012	0.84101	346	0.10578	37	7.604	30.90	10.03	3280.806517	1538.496499	1.931758582	1.217815261
Chiloé	10°C	1500ppm	0.0002	0.452143588	0.010	0.020	0.140	0.002	0.380	0.132	0.0129	0.001	0.68118	402	0.20125	81	7.604	30.90	10.03	3465.620488	1625.84243	2.041422933	1.286949635
Chiloé	10°C	1500ppm	0.0049	1.30900567	0.100	0.150	0.190	-0.276	0.370	0.178	0.01	0.0016	0.93939	500	0.14797	72	7.604	30.90	10.03	3383.237446	1586.906928	1.992538742	1.256132164
Chiloé	10°C	1500ppm	0.002	1.69695648	0.050	0.260	0.630	0.005	0.326	0.083	0.0078	0.0004	0.87214	317	0.17047	60	7.604	30.90	10.03	3712.996815	1742.756365	2.188210256	1.379486996
Chiloé	10°C	1500ppm	0.0052	0.49811905	0.030	0.160	0.190	-0.002	0.294	0.059	0.0056	0.0005	0.95528	458	0.06859	34	7.604	30.90	10.03	3787.194436	1777.823339	2.23223737	1.407242479
Chiloé	10°C	1500ppm	0.0035	1.243506317	0.090	0.260	0.340	0.012	0.268	0.079	0.0087	0.001	0.88264	195	0.11859	25	7.604	30.90	10.03	3872.070298	1817.937027	2.282600691	1.43899242
Chiloé	10°C	1500ppm	0.0029	1.266067635	0.090	0.320	0.450	0.003	0.278	0.066	0.0064	0.0008	0.96297	275	0.12047	33	7.604	30.90	10.03	4132.504503	1941.022434	2.437136112	1.536414321
Chiloé	10°C	1500ppm	0.0033	1.201840359	0.100	0.670	0.020	0.003	0.480	0.097	0.0076	0.0011	0.58507	209	0.32422	80	7.604	30.90	10.03	2982.290596	1397.41339	1.754625971	1.106147685
Chiloé	10°C	1500ppm	0.008	5.635435244	0.140	1.170	0.960	0.012	0.268	0.120	0.0147	0.0017	0.94246	384	0.13141	50	7.604	30.90	10.03	2869.607721	1344.157813	1.687762441	1.063995717
Chiloé	15°C	500ppm	0.0017	2.08999162	0.130	0.170	0.350	0.001	0.326	0.172	0.0216	0.0029	0.6876	379	0.21828	86	8.014	30.13	15.03	2260.820847	437.8785403	3.308399864	2.10111236
Chiloé	15°C	500ppm	0.0083	2.364813379	0.050	0.060	0.820	0.011	0.380	0.142	0.0121	0.0017	0.9763	510	0.11172	57	8.014	30.13	15.03	2438.824051	472.9693665	3.577635581	2.2720997
Chiloé	15°C	500ppm	0.0032	2.530494098	0.040	0.320	0.790	0.011	0.288	0.096	0.0086	0.001	0.89168	405	0.10515	42	8.014	30.13	15.03	2325.760319	450.6816644	3.406614482	2.163486908
Chiloé	15°C	500ppm	0.0052	2.266430648	0.300	0.130	0.750	0.012	0.236	0.069	0.0053	0	0.98363	289	0.12203	35	8.014	30.13	15.03	2484.218188	481.9165796	3.646306838	2.315711727
Chiloé	15°C	500ppm	0.0059	4.980566097	0.460	1.190	1.180	0.021	0.256	0.089	0.0059	0.0008	0.74696	657	0.08094	53	8.014	30.13	15.03	2573.594423	499.5309716	3.781525203	2.401586769
Chiloé	15°C	500ppm	0.0069	2.479275883	0.070	0.360	0.750	0.014	0.252	0.080	0.0082	0.0007	0.81267	435	0.12562	53	8.014	30.13	15.03	2672.875014	519.0948396	3.931745291	2.496989168
Chiloé	15°C	500ppm	0.0054	1.629197122	0.160	0.440	0.220	0.021	0.332	0.115	0.007	0.0007	0.89217	228	0.20281	44	8.014	30.13	15.03	3204.047457	623.7294803	4.735707439	3.007572797
Chiloé	15°C	500ppm	0.0075	0.449092262	-1.060	0.790	0.180	0.009	0.338	0.060	0.0039	-0.0003	0.96064	343	0.13062	44	8.014	30.13	15.03	3083.630982	600.0134982	4.553417424	2.891803295
Chiloé	15°C	500ppm	0.0117	3.844333567	0.400	0.490	0.630	0.028	0.290	0.123	0.0126	0.0015	0.96861	321	0.14922	47	8.014	30.13	15.03	3268.260634	636.3753007	4.832921821	3.069312111
Chiloé	15°C	500ppm	0.0434	4.548880697	0.360	0.770	0.560	0.025	0.324	0.149	0.0118	0.0019	0.69111	315	0.2089	71	8.014	30.13	15.03	3288.941442	640.4479427	4.864232082	3.089196762
Chiloé	15°C	500ppm	0.0038	2.605948214	0.040	0.210	0.640	0.006	0.408	0.171	0.0139	0.0017	0.87276	889	0.14625	118	8.014	30.13	15.03	2260.820847	437.8785403	3.308399864	2.10111236
Chiloé	15°C	500ppm	0.0056	4.043132326	0.260	0.930	0.880	0.018	0.292	0.098	0.0125	0.0012	0.96561	283	0.14297	40	8.014	30.13	15.03	2438.824051	472.9693665	3.577635581	2.2720997
Chiloé	15°C	500ppm	0.0057	2.291533818	0.140	1.000	0.230	0.014	0.408	0.089	0.0072	0.0008	0.91814	385	0.30562	117	8.014	30.13	15.03	2325.760319	450.6816644	3.406614482	2.163486908
Chiloé	15°C	500ppm	0.0069	3.294464345	0.820	0.750	1.020	0.016	0.242	0.058	0.0054	0.0008	0.94258	312	0.1489	49	8.014	30.13	15.03	2484.218188	481.9165796	3.646306838	2.315711727
Chiloé	15°C	500ppm	0.0037	2.531769524	0.030	0.130	1.290	0.001	0.366	0.075	0.0066	0.001	0.86258	300	0.24203	68	8.014	30.13	15.03	2573.594423	499.5309716	3.781525203	2.401586769
Chiloé	15°C	500ppm	0.0082	2.658863913	-0.400	0.590	0.960	0.020	0.260	0.073	0.0059	0.0004	0.95821	210	0.09734	21	8.014	30.13	15.03	2672.875014	519.0948396	3.931745291	2.496989168
Chiloé	15°C	500ppm	0.0056	5.374974882	0.110	0.980	0.640	0.024	0.360	0.171	0.0195	0.0021	0.97968	631	0.16	94	8.014	30.13	15.03	3204.047457	623.7294803	4.735707439	3.007572797
Chiloé	15°C	500ppm	0.002	5.405494509	0.340	1.120	0.850	0.013	0.372	0.134	0.0141	0.0021	1	418	0	60	8.014	30.13	15.03	3083.630982	600.0134982	4.553417424	2.891803295
Chiloé	15°C	500ppm	0.0081	4.498108111	0.220	1.250	0.690	0.017	0.312	0.114	0.0121	0.0009	0.91989	351	0.18797	61	8.014	30.13	15.03	3268.260634	636.3753007	4.832921821	3.069312111
Chiloé	15°C	500ppm	0.0022	3.730143197	0.690	0.450	1.450	0.019	0.244	0.065	0.0074	0.0007	0.98163	255	0.07078	19	8.014	30.13	15.03	3288.941442	640.4479427	4.864232082	3.089196762
Chiloé	15°C	500ppm	0.0031	4.553285112	0.100	1.290	1.170	0.009	0.398	0.094	0.0073	0.0004	0.86894	245	0.25046	66	8.014	30.13	15.03	2438.824051	472.9693665	3.577635581	2.2720997
Chiloé	15°C	500ppm	0.0033	2.297439446	0.280	0.430	0.570	0.014	0.258	0.076	0.0051	0.0006	0.81859	287	0.14078	39	8.014	30.13	15.03	2325.760319	450.6816644	3.406614482	2.163486908
Chiloé	15°C	500ppm	0.0061	3.053750731	0.390	0.620	0.840	0.021	0.418	0.145	0.0072	0.0007	0.9269	490	0.1775	85	8.014	30.13	15.03	2484.218188	481.9165796	3.646306838	2.315711727
Chiloé	15°C	500ppm	-0.008	3.596540928	0.130	0.870	0.550	0.009	0.306	0.089	0.0116	0.0015	0.94964	414	0.12844	54	8.014	30.13	15.03	2573.594423	499.5309716	3.781525203	2.401586769
Chiloé	15°C	500ppm	0.0064	2.913266629	0.050	0.190	0.860	0.018	0.324	0.110	0.0093	0.0012	0.91129	551	0.14656	81	8.014	30.13	15.03	2672.875014	519.0948396	3.931745291	2.496989168
Chiloé	15°C	500ppm	0.0056	0.688146072	-0.010	0.270	0.050	0.009	0.410	0.135	0.012	0.0018	0.97279	668	0.13078	88	8.014	30.13	15.03	3204.047457	623.7294803	4.735707439	3.007572797
Chiloé	15°C	500ppm	0.0041	1.907062337	0.260	0.150	0.710	0.009	0.308	0.077	0.0044	0.0008	0.89586	268	0.14437	42	8.014	30.13	15.03	3083.630982	600.0134982	4.553417424	2.891803295
Chiloé	15°C	500ppm	0.0006	1.452657363	0.810	0.380	0.350	0.001	0.278	0.044	0.0026	0.0004	0.88201	306	0.12937	40	8.014	30.13	15.03	3268.260634	636.3753007	4.832921821	3.069312111
Chiloé	15°C	500ppm	0.0048	3.99646192	0.530	0.910	0.770	0.010	0.296	0.095	0.0087	0.0009	0.87718	331	0.17656	58	8.014	30.13	15.03	3288.941442	640.4479427	4.864232082	3.089196762
Chiloé	15°C	500ppm	0.0072	4.884823017	0.710	0.850	1.490	0.028	0.230	0.073	0.0071	0.0003	0.93074	434	0.11907	50	8.014	30.13	15.03	2260.820847	437.8785403	3.308399864	2.10111236
Chiloé	15°C	500ppm	0.0039	1.832044388	0.130	0.140	0.670	0.008	0.330	0.089	0.006	0.001	0.69899	252	0.23625	58	8.014	30.13	15.03	2438.824051	472.9693665	3.577635581	2.2720997
Chiloé	15°C	1500ppm	0.0072	-0.833987935	0.040	-0.510	0.120	0.014	0.426	0.159	0.0161	0.0012	0.63676	410	0.22187	89	7.695	30.16	15.18	4126.394917	1886.042824	3.066171597	1.948116109
Chiloé	15°C	1500ppm	0.0087	2.262917951	0.260	0.190	0.530	0.020	0.226	0.100	0.0122	0.0013	0.84613	211	0.20922	46	7.695	30.16	15.18	4374.816335	2000.341556	3.252223656	2.06632574
Chiloé	15°C	1500ppm	0.0079	1.498385727	0.300	0.330	0.170	0.023	0.354	0.135	0.0119	0.0014	0.79004	466	0.19515	79	7.695	30.16	15.18	4002.10703	1828.857552	2.973088399	1.888974971
Chiloé	15°C	1500ppm	0.0071	1.262606811	0.420	0.200	0.320	0.010	0.270	0.076	0.0011	0.0022	0.99077	330	0.12235	42	7.695	30.16	15.18	4116.221156	1881.361853	3.058552123	1.943275017
Chiloé	15°C	1500ppm	0.0072	1.756361428	0.310	0.130	0.700	0.022	0.264	0.070	0.008	0.0009	0.96027	86	0.12657	12	7.695	30.16	15.18	4095.858592	1871.992985	3.04330192	1.933585681
Chiloé	15°C	1500ppm	0.0041	3.128212942	0.610	0.890	0.970	0.025	0.230	0.052	0.0069	-0.0001	1	341	0	37	7.695	30.16	15.18	4427.555383	2024.606675	3.291722093	2.091421381
Chiloé	15°C	1500ppm	0.0055	2.232266192	0.110	0.330	0.590	0.012	0.302	0.107	0.009	0.0014	0.98556	214	0.1261	28	7.695	30.16	15.18	4821.032258	2205.643314	3.586414978	2.278656811
Chiloé	15°C	1500ppm	0.0084	3.975512552	0.440	0.220	1.470	0.019	0.270	0.090	0.0104	0.0013	0.93131	381	0.12313	47	7.695	30.16	15.18	4798.404023	2195.232235	3.569467571	2.267889143
Chiloé	15°C	1500ppm	0.0066	1.690907417	0.070	0.360	0.250	0.015	0.382	0.158	0.0157	0.0019	1	495	0	67	7.695	30.16	15.18	5131.688443	2348.573294	3.819081711	2.42648344
Chiloé	15°C	1500ppm	0.0046	0.661032465	0.320	0.040	0.030	-0.001	0.482	0.130	0.0068	0.0018	0.88616	284	0.27515	68	7.695	30.16	15.18	4126.394917	1886.042824	3.066171597	1.948116109
Chiloé	15°C	1500ppm	0.0046	1.389316529	0.130	0.350	0.550	0.003	0.266	0.071	0.0048	-1E-04	0.90841	452	0.13282	62	7.695	30.16	15.18	4374.816335	2000.341556	3.252223656	2.06632574
Chiloé	15°C	1500ppm	0.0062	3.625242286	0.360	0.770	1.020	0.011	0.252	0.084	0.0092	0.0017	0.96763	288	0.11454	33	7.695	30.16	15.18	4116.221156	1881.361853	3.058552123	1.943275017
Chiloé	15°C	1500ppm	0.0094	2.235709014	0.490	0.370	0.370	0.026	0.276	0.101	0.0107	0.0014	0.85303	290	0.17484	50	7.695	30.16	15.18	4095.858592	1871.992985	3.04330192	1.933585681
Chiloé	15°C	1500ppm	0.0064	1.444502197	0.440	0.730	0.190	0.013	0.210	0.051	0.0032	0.0011	0.99539	409	0.07219	30	7.695	30.16	15.18	4427.555383	2024.606675	3.291722093	2.091421381
Chiloé	15°C	1500ppm	0.0085	3.41134557	0.280	0.320	1.030	0.021	0.294	0.108	0.0122	0.0008	0.89342	442	0.13141	57	7.695	30.16	15.18	4821.032258	2205.643314	3.586414978	2.278656811
Chiloé	15°C	1500ppm	0.0066	2.393143548	0.080	0.460	0.520	0.008	0.384	0.132	0.0125	0.0023	0.81562	351	0.19484	67	7.695	30.16	15.18	4798.404023	2195.232235	3.569467571	2.267889143
Chiloé	15°C	1500ppm	0.002	2.325438156	0.040	0.170	0.720	0.013	0.426	0.153	0.0091	0.0012	0.85217	354	0.26062	91	7.695	30.16	15.18	5050.318683	2311.135933	3.758139468	2.387763309
Chiloé	15°C	1500ppm	0.01	2.368657242	0.180	0.580	0.530	0.016	0.430	0.103	0.0094	0.002	0.82489	269	0.1939	55	7.695	30.16	15.18	5131.688443	2348.573294	3.819081711	2.42648344
Chiloé	15°C	1500ppm	-0.0087	1.091391613	0.410	0.470	0.220	-0.037	0.300	0.046	0.0043	0.001	0.90339	693	0.12281	80	7.695	30.16	15.18	4126.394917	1886.042824	3.066171597	1.948116109
Chiloé	15°C	1500ppm	0.01	1.531882912	0.310	0.140	0.490	0.011	0.312	0.080	0.0064	0.0009	0.92542	101	0.09578	10	7.695	30.16	15.18	4374.816335	2000.341556	3.252223656	2.06632574
Chiloé	15°C	1500ppm	-0.0199	1.347217419	0.170	0.400	0.610	-0.051	0.260	0.044	0.0029	0.0006	0.82716	385	0.11703	44	7.695	30.16	15.18	4002.10703	1828.857552	2.973088399	1.888974971
Chiloé	15°C	1500ppm	0.018	1.993541077	0.170	0.830	0.340	0.008	0.298	0.067	0.0039	-0.0004	0.82379	433	0.10672	45	7.695	30.16	15.18	4116.221156	1881.361853	3.058552123	1.943275017
Chiloé	15°C	1500ppm	0.0083	-6.050823558	0.090	-2.964	0.350	0.018	0.330	0.133	0.0125	0.0022	0.96046	270	0.15125	44	7.695	30.16	15.18	4095.858592	1871.992985	3.04330192	1.933585681
Chiloé	15°C	1500ppm	0.0124	0.935900194	0.140	0.120	0.120	0.030	0.370	0.163	0.0145	0.0017	0.97421	365	0.20266	74	7.695	30.16	15.18	4427.555383	2024.606675	3.291722093	2.091421381
Chiloé	15°C	1500ppm	-0.0015	2.005344672	0.280	0.220	0.440	0.006	0.306	0.104	0.008	0.0007	0.77952	213	0.19094	41	7.695	30.16	15.18	4821.032258	2205.643314	3.586414978	2.278656811
Chiloé	15°C	1500ppm	0.004	2.00864678	0.270	1.040	0.400	0.012	0.248	0.043	0.0038	0.0021	0.58394	193	0.19375	41	7.695	30.16	15.18	4798.404023	2195.232235	3.569467571	2.267889143
Chiloé	15°C	1500ppm	0.0015	1.125345354	0.220	0.150	0.350	0.006	0.396	0.090	0.006	0.0011	0.9523	245	0.18391	46	7.695	30.16	15.18	5050.318683	2311.135933	3.758139468	2.387763309
Chiloé	15°C	1500ppm	0.0044	1.575305679	0.100	0.320	0.440	0.017	0.314	0.083	0.0082	0.0015	0.8977	434	0.1	43	7.695	30.16	15.18	5131.688443	2348.573294	3.819081711	2.42648344
Chiloé	15°C	1500ppm	0.0158	2.648279684	0.320	0.690	0.460	0.036	0.262	0.086	0.0102	0.0011	0.97621	281	0.09562	28	7.695	30.16	15.18	4126.394917	1886.042824	3.066171597	1.948116109
Chiloé	15°C	1500ppm	0.0039	2.123287007	0.080	0.490	0.850	0.008	0.340	0.064	0.0035	0.0008	0.94794	333	0.08126	31	7.695	30.16	15.18	4374.816335	2000.341556	3.252223656	2.06632574
Talcaruca	10°C	500ppm	-0.0092	21.61030363	0.210	2.530	1.290	0.021	0.382	0.249	0.017	0.002	0.67012	361	0.31063	109	7.968810547	34.43	10.47	995.0677606	167.338182	1.333619653	0.848142917
Talcaruca	10°C	500ppm	0	21.13582374	0.100	1.940	0.720	0.038	0.366	0.183	0.0153	0.0025	0.91356	257.5194	0.15297	37.495	7.968810547	34.43	10.47	388.5528431	59.43410262	0.45806213	0.291314057
Talcaruca	10°C	500ppm	0.0052	11.14897205	0.020	0.860	0.340	-0.008	0.326	0.182	0.0104	0.0008	0.74114	101	0.41875	46	7.968810547	34.43	10.47	501.8666814	79.78488662	0.620266886	0.394471516
Talcaruca	10°C	500ppm	-0.0506	12.30433942	-0.020	0.780	0.290	-0.143	0.332	0.191	0.0091	0.0007	0.86476	299	0.22032	61	7.968810547	34.43	10.47	525.5217167	84.01806615	0.654236104	0.41607494
Talcaruca	10°C	1500ppm	0.0016	9.52394023	0.290	1.200	0.400	0.043	0.302	0.154	0.0116	0.0022	0.85051	309	0.21641	64	7.634	34.68	10.26	1688.989987	705.9431551	1.143399729	0.727194859
Talcaruca	10°C	1500ppm	0.031	13.96979973	0.200	1.580	0.340	0.045	0.336	0.157	0.0064	0.0009	0.7809	245	0.26157	68	7.634	34.68	10.26	1927.966104	807.447778	1.308795002	0.832385186
Talcaruca	10°C	1500ppm	0.07647	9.35613935	0.850	0.870	-0.460	-0.018	0.338	0.171	0.0032	0.0004	0.71962	316	0.18422	58	7.634	34.68	10.26	1603.979618	669.8298196	1.084572663	0.689781224
Talcaruca	15°C	500ppm	0.0066	17.99464985	0.910	1.940	0.240	0.066	0.372	0.209	0.0175	0.0024	0.97407	402	0.11265	48	8.058	34.07	15.36	1677.64118	276.8280525	2.810691957	1.803656867
Talcaruca	15°C	500ppm	0.0041	10.73618347	0.030	1.030	0.640	0.057	0.444	0.211	0.0154	0.0024	0.81607	202	0.32563	75	8.058	34.07	15.36	914.5206331	146.0712469	1.463879671	0.939390251
Talcaruca	15°C	500ppm	0.0106	12.27797051	0.280	1.220	0.240	0.043	0.304	0.199	0.0149	0.0016	0.81784	483	0.18297	87	8.058	34.07	15.36	1585.988789	261.1580164	2.648630946	1.69966025
Talcaruca	15°C	500ppm	0.0043	15.66280693	0.190	1.560	0.220	0.028	0.350	0.179	0.0121	0.0012	0.82292	313	0.25266	75	8.058	34.07	15.36	859.7883048	136.6570337	1.367605703	0.877610018
Talcaruca	15°C	1500ppm	0.0451	10.74757458	0.410	0.580	1.430	0.042	0.334	0.164	0.0123	0.0014	0.85104	251	0.14422	38	7.703692434	34.07	15.70	3070.409017	1343.435565	2.511533639	1.61290713
Talcaruca	15°C	1500ppm	0.0054	8.991092018	0.120	1.190	0.330	0.028	0.306	0.152	0.0123	0.0021	0.76169	204	0.22485	48	7.703692434	34.07	15.70	1935.382701	841.6376283	1.570682324	1.008692331
Talcaruca	15°C	1500ppm	0.0051	10.59312833	0.070	1.110	0.900	0.037	0.366	0.186	0.0119	0.0017	0.84447	439	0.16219	70	7.703692434	34.07	15.70	1908.285711	829.6551373	1.54822612	0.994270955
Talcaruca	15°C	1500ppm	0.0195	16.29793056	0.200	0.390	0.560	0.032	0.384	0.252	0.0227	0.003	0.90415	302	0.10562	31	7.703692434	34.07	15.70	1990.846735	866.1636533	1.616648328	1.038211703
Talcaruca	10°C	500ppm	0.0032	0	0.100	0.080	5.040	8.027	0.388	0.144	0.0088	0.0011	0.90915	299	0.17125	50	7.968810547	34.43	10.47	1184.127683	200.6405865	1.608969792	1.023257516
Talcaruca	10°C	500ppm	0.0033	0	-0.060	1.000	4.580	0.054	0.312	0.085	0.0068	0.0013	0.76157	331	0.20531	65	7.968810547	34.43	10.47	537.4033184	86.14258507	0.67131087	0.42693399
Talcaruca	10°C	500ppm	0.0036	0	0.220	0.020	4.350	0.010	0.270	0.088	0.0083	0.0012	0.89766	228	0.18625	44	7.968810547	34.43	10.47	666.3064815	109.1249938	0.857031177	0.545046649
Talcaruca	10°C	500ppm	0.0501	0	0.190	0.150	4.660	0.140	0.312	0.107	0.0089	0.0014	0.93277	289	0.15453	43	7.968810547	34.43	10.47	715.3002164	117.8324214	0.927820305	0.590066455
Talcaruca	10°C	1500ppm	0.0062	0	0.060	1.030	4.640	0.003	0.348	0.106	0.0074	0.0017	0.94175	323	0.08703	29	7.634	34.68	10.26	2592.054689	1089.437623	1.768539484	1.124779714
Talcaruca	10°C	1500ppm	0.0028	0	0.210	0.110	5.580	0.035	0.324	0.127	0.0096	0.001	0.91208	259	0.12531	33	7.634	34.68	10.26	1642.305228	686.1113503	1.111093308	0.706648183
Talcaruca	10°C	1500ppm	0.0024	0	0.170	0.010	4.350	0.007	0.292	0.108	0.0074	0.0005	0.85615	216	0.17141	38	7.634	34.68	10.26	931.9374047	384.1756143	0.619781409	0.394176981
Talcaruca	10°C	1500ppm	0.0039	0	0.020	1.260	4.640	0.018	0.288	0.095	0.0067	0.001	0.94656	165	0.16563	30	7.634	34.68	10.26	905.5875775	372.9665264	0.601571942	0.382595878
Talcaruca	15°C	500ppm	0.004	0	0.420	0.260	5.220	0.003	0.304	0.092	0.0076	0.0003	0.82079	265	0.18609	48	8.058	34.07	15.36	1881.236381	311.6161928	3.170881689	2.034795211
Talcaruca	15°C	500ppm	0.0085	0	0.610	1.750	5.340	0.048	0.266	0.130	0.0083	0.0012	0.66322	319	0.1939	63	8.058	34.07	15.36	914.1134451	146.0012348	1.463163198	0.93893048
Talcaruca	15°C	500ppm	0.0025	0	0.330	0.320	3.870	0.006	0.300	0.087	0.0051	0.0005	0.88054	362	0.11406	42	8.058	34.07	15.36	1738.847817	287.2892405	2.918949606	1.873127181
