Localidad;Temperatura;ppm;Peso_bollante;Volumen cm;Largo;Ancho ;Alto;Peso_total;Margen_crecimiento;Peso_seco_concha;Pseco_mb;Peso_libre_ceniza;r3;pendiente;extensi¢n_max;carga_max;ph Promedio (25øC);Salinidad;Temperatura ;Alcalinidad_total (æmol kg-1);pCO2 (æatm);?calcita;?aragonita
Chilo‚;10øC;500ppm;0.0043;1.724.878.616;0.060;0.320;0.690;0.004;0.186;0.069;0.0049;0;0.93258;390;0.10656;41;7.937;30.87;11.19;3.607.929.733;7.272.231.326;4.555.709.065;2.877.643.348
Chilo‚;10øC;500ppm;0.0022;2.067.275.269;0.130;0.210;1.010;-0.003;0.352;0.074;0.0056;0.001;0.84536;288;0.18172;52;7.937;30.87;11.19;2.440.439.834;4.904.181.459;3.049.521.555;1.926.250.182
Chilo‚;10øC;500ppm;0.0033;2.206.855.051;0.350;0.460;1.120;0.006;0.198;0.044;0.0039;0.0007;0.98869;497;0.11625;57;7.937;30.87;11.19;3.423.130.557;6.897.620.974;4.317.165.812;2.726.965.946
Chilo‚;10øC;500ppm;0.003;2.272.969.133;0.130;0.300;0.840;0.007;0.464;0.103;0.0106;0.0014;0.95483;258;0.25969;65;7.937;30.87;11.19;2.486.665.072;4.998.023.547;3.109.108.282;1.963.888.527
Chilo‚;10øC;500ppm;0.0034;0.970954066;0.050;0.120;0.280;0.005;0.244;0.078;0.0074;0.0008;0.72175;235;0.13375;38;7.937;30.87;11.19;3.979.821.549;8.025.931.038;5.035.857.696;3.180.932.362
Chilo‚;10øC;500ppm;-0.0032;-4.551.482.878;0.000;0.450;-1.740;0.000;0.296;0.135;0.0109;0.0014;0.75957;248;0.20641;54;7.937;30.87;11.19;2.405.764.693;4.833.781.102;3.004.827.156;1.898.018.673
Chilo‚;10øC;500ppm;0.0037;0.847088602;0.030;-0.180;0.360;-0.010;0.390;0.202;0.0213;0.002;0.93999;589;0.12563;74;7.937;30.87;11.19;4.155.348.465;8.381.598.067;5.262.520.189;3.324.105.205
Chilo‚;10øC;500ppm;0.0002;2.126.242.459;0.390;0.630;0.150;0.008;0.398;0.117;0.0113;0.0008;0.90361;407;0.22312;92;7.937;30.87;11.19;3.019.735.276;6.079.644.367;3.796.599.736;2.398.146.988
Chilo‚;10øC;500ppm;0.0035;2.679.868.712;0.100;0.390;0.800;0.006;0.242;0.090;0.0124;0.0016;0.93065;434;0.12891;62;7.937;30.87;11.19;2.969.165.676;5.977.074.997;3.731.358.216;2.356.936.757
Chilo‚;10øC;500ppm;0.0012;2.172.250.116;0.250;1.260;0.480;0.002;0.218;0.042;0.0047;0.0005;0.7454;209;0.1086;25;7.937;30.87;11.19;2.146.492.518;4.307.197.137;2.670.750.188;1.686.996.778
Chilo‚;10øC;500ppm;0.0062;3.025.291.027;0.130;0.290;1.080;0.013;0.254;0.074;0.0116;0.0014;0.98113;137;0.09828;14;7.937;30.87;11.19;3.607.929.733;7.272.231.326;4.555.709.065;2.877.643.348
Chilo‚;10øC;500ppm;0.0034;2.461.204.011;0.000;0.910;0.590;0.021;0.222;0.066;0.0068;0.0007;0.90595;412;0.10531;43;7.937;30.87;11.19;2.440.439.834;4.904.181.459;3.049.521.555;1.926.250.182
Chilo‚;10øC;500ppm;0.014;1.494.855.027;0.060;0.290;0.230;0.010;0.318;0.121;0.0162;0.0009;0.95664;461;0.16125;79;7.937;30.87;11.19;3.423.130.557;6.897.620.974;4.317.165.812;2.726.965.946
Chilo‚;10øC;500ppm;0.0049;2.280.151.946;0.100;0.170;0.550;0.015;0.384;0.145;0.0145;0.0014;0.98527;379;0.09656;39;7.937;30.87;11.19;2.486.665.072;4.998.023.547;3.109.108.282;1.963.888.527
Chilo‚;10øC;500ppm;0.0023;2.049.535.776;0.060;0.630;0.030;0.290;0.416;0.190;0.0232;0.0022;0.81957;347;0.22844;76;7.937;30.87;11.19;3.979.821.549;8.025.931.038;5.035.857.696;3.180.932.362
Chilo‚;10øC;500ppm;0.0023;3.074.712.283;0.230;1.090;0.720;0.004;0.288;0.100;0.0086;0.0008;0.94018;511;0.15765;80;7.937;30.87;11.19;2.405.764.693;4.833.781.102;3.004.827.156;1.898.018.673
Chilo‚;10øC;500ppm;0.0237;2.954.584.507;0.100;0.940;0.930;0.053;0.384;0.079;0.0049;1,00E-04;0.88209;214;0.1975;42;7.937;30.87;11.19;4.155.348.465;8.381.598.067;5.262.520.189;3.324.105.205
Chilo‚;10øC;500ppm;0.0043;1.867.058.737;0.050;0.370;0.670;0.009;0.298;0.063;0.0052;0.0008;0.94648;315;0.07734;26;7.937;30.87;11.19;3.019.735.276;6.079.644.367;3.796.599.736;2.398.146.988
Chilo‚;10øC;500ppm;0.0034;2.557.396.613;0.120;0.740;0.530;-0.001;0.212;0.079;0.0093;0.001;0.93551;508;0.12156;57;7.937;30.87;11.19;2.969.165.676;5.977.074.997;3.731.358.216;2.356.936.757
Chilo‚;10øC;500ppm;0.0059;1.402.420.335;0.110;0.560;0.290;0.009;0.258;0.073;0.0081;0.0005;0.90842;270;0.16265;43;7.937;30.87;11.19;2.146.492.518;4.307.197.137;2.670.750.188;1.686.996.778
Chilo‚;10øC;1500ppm;-0.0066;0.812099456;-0.170;0.200;0.170;0.005;0.354;0.170;0.0189;0.002;0.79995;251;0.16828;43;7.604;30.90;10.03;2.982.290.596;139.741.339;1.754.625.971;1.106.147.685
Chilo‚;10øC;1500ppm;0.0023;1.047.499.227;0.170;0.570;-0.250;0.007;0.280;0.138;0.014;0.0012;0.96442;242;0.13781;38;7.604;30.90;10.03;2.869.607.721;1.344.157.813;1.687.762.441;1.063.995.717
Chilo‚;10øC;1500ppm;0.0047;1.234.155.648;0.060;0.020;0.370;0.011;0.268;0.118;0.0122;0.0012;0.90305;261;0.09703;26;7.604;30.90;10.03;3.385.263.655;1.587.864.546;1.993.741.048;1.256.890.119
Chilo‚;10øC;1500ppm;0.0019;4.003.489.952;0.160;1.150;0.690;0.006;0.252;0.096;0.0109;0.0011;1;285;0;28;7.604;30.90;10.03;3.280.806.517;1.538.496.499;1.931.758.582;1.217.815.261
Chilo‚;10øC;1500ppm;-0.0038;1.267.669.831;0.110;0.310;0.510;-0.008;0.248;0.056;0.0053;0.0009;1;402;0;49;7.604;30.90;10.03;3.465.620.488;162.584.243;2.041.422.933;1.286.949.635
Chilo‚;10øC;1500ppm;0.0044;2.302.814.707;0.090;0.870;0.140;0.014;0.222;0.088;0.009;0.0007;0.92369;67;0.19484;15;7.604;30.90;10.03;3.383.237.446;1.586.906.928;1.992.538.742;1.256.132.164
Chilo‚;10øC;1500ppm;0.004;-0.426653654;0.050;-0.360;0.120;0.006;0.186;0.116;0.0167;0.0018;0.75161;258;0.26344;73;7.604;30.90;10.03;3.872.070.298;1.817.937.027;2.282.600.691;143.899.242
Chilo‚;10øC;1500ppm;0.0031;0.021707532;0.110;-0.150;0.060;0.001;0.292;0.184;0.0221;0.0017;0.98065;174;0.1789;29;7.604;30.90;10.03;4.132.504.503;1.941.022.434;2.437.136.112;1.536.414.321
Chilo‚;10øC;1500ppm;-0.0004;2.918.696.359;0.110;0.360;0.660;0.006;0.326;0.136;0.0092;0.0005;0.95324;293;0.12781;37;7.604;30.90;10.03;2.982.290.596;139.741.339;1.754.625.971;1.106.147.685
Chilo‚;10øC;1500ppm;0.0024;285.965.766;0.120;0.890;0.470;0.010;0.236;0.086;0.0083;0.0003;0.72627;244;0.14969;40;7.604;30.90;10.03;2.869.607.721;1.344.157.813;1.687.762.441;1.063.995.717
Chilo‚;10øC;1500ppm;0.0008;0.950853921;0.030;0.190;0.670;0.002;0.190;0.032;0.0024;0;1;388;0;28;7.604;30.90;10.03;3.385.263.655;1.587.864.546;1.993.741.048;1.256.890.119
Chilo‚;10øC;1500ppm;0.0019;2.083.332.224;0.070;0.170;0.880;0.005;0.266;0.078;0.0073;0.0007;0.97575;454;0.10781;50;7.604;30.90;10.03;3.280.806.517;1.538.496.499;1.931.758.582;1.217.815.261
Chilo‚;10øC;1500ppm;0.0052;153.359.978;0.130;0.260;0.430;0.010;0.254;0.078;0.0082;0.0001;0.99098;254;0.1439;35;7.604;30.90;10.03;3.465.620.488;162.584.243;2.041.422.933;1.286.949.635
Chilo‚;10øC;1500ppm;0.0001;5.796.302.342;0.020;1.200;0.760;0.016;0.390;0.176;0.0152;0.0016;0.88059;395;0.16187;63;7.604;30.90;10.03;3.712.996.815;1.742.756.365;2.188.210.256;1.379.486.996
Chilo‚;10øC;1500ppm;0.0002;1.907.395.596;0.010;0.220;0.470;-0.013;0.380;0.136;0.0137;0.0013;0.63042;241;0.22609;58;7.604;30.90;10.03;3.787.194.436;1.777.823.339;223.223.737;1.407.242.479
Chilo‚;10øC;1500ppm;0.0027;1.694.788.122;0.000;0.210;0.500;-0.003;0.270;0.100;0.0083;0.0011;1;234;0;25;7.604;30.90;10.03;3.872.070.298;1.817.937.027;2.282.600.691;143.899.242
Chilo‚;10øC;1500ppm;0.0021;2.668.266.329;0.030;1.250;0.540;0.001;0.456;0.092;0.0051;0.0003;0.90689;346;0.17875;57;7.604;30.90;10.03;4.132.504.503;1.941.022.434;2.437.136.112;1.536.414.321
Chilo‚;10øC;1500ppm;0.0017;1.487.292.902;0.150;0.450;0.380;0.000;0.262;0.065;0.0058;0.0001;0.99303;364;0.13078;50;7.604;30.90;10.03;2.982.290.596;139.741.339;1.754.625.971;1.106.147.685
Chilo‚;10øC;1500ppm;0.0008;3.090.173.894;0.080;0.860;0.590;0.003;0.396;0.111;0.0076;0.0006;0.9784;361;0.16219;56;7.604;30.90;10.03;3.385.263.655;1.587.864.546;1.993.741.048;1.256.890.119
Chilo‚;10øC;1500ppm;0.001;1.406.200.477;0.030;0.230;0.540;0.001;0.294;0.073;0.0062;0.0012;0.84101;346;0.10578;37;7.604;30.90;10.03;3.280.806.517;1.538.496.499;1.931.758.582;1.217.815.261
Chilo‚;10øC;1500ppm;0.0002;0.452143588;0.010;0.020;0.140;0.002;0.380;0.132;0.0129;0.001;0.68118;402;0.20125;81;7.604;30.90;10.03;3.465.620.488;162.584.243;2.041.422.933;1.286.949.635
Chilo‚;10øC;1500ppm;0.0049;130.900.567;0.100;0.150;0.190;-0.276;0.370;0.178;0.01;0.0016;0.93939;500;0.14797;72;7.604;30.90;10.03;3.383.237.446;1.586.906.928;1.992.538.742;1.256.132.164
Chilo‚;10øC;1500ppm;0.002;169.695.648;0.050;0.260;0.630;0.005;0.326;0.083;0.0078;0.0004;0.87214;317;0.17047;60;7.604;30.90;10.03;3.712.996.815;1.742.756.365;2.188.210.256;1.379.486.996
Chilo‚;10øC;1500ppm;0.0052;0.49811905;0.030;0.160;0.190;-0.002;0.294;0.059;0.0056;0.0005;0.95528;458;0.06859;34;7.604;30.90;10.03;3.787.194.436;1.777.823.339;223.223.737;1.407.242.479
Chilo‚;10øC;1500ppm;0.0035;1.243.506.317;0.090;0.260;0.340;0.012;0.268;0.079;0.0087;0.001;0.88264;195;0.11859;25;7.604;30.90;10.03;3.872.070.298;1.817.937.027;2.282.600.691;143.899.242
Chilo‚;10øC;1500ppm;0.0029;1.266.067.635;0.090;0.320;0.450;0.003;0.278;0.066;0.0064;0.0008;0.96297;275;0.12047;33;7.604;30.90;10.03;4.132.504.503;1.941.022.434;2.437.136.112;1.536.414.321
Chilo‚;10øC;1500ppm;0.0033;1.201.840.359;0.100;0.670;0.020;0.003;0.480;0.097;0.0076;0.0011;0.58507;209;0.32422;80;7.604;30.90;10.03;2.982.290.596;139.741.339;1.754.625.971;1.106.147.685
Chilo‚;10øC;1500ppm;0.008;5.635.435.244;0.140;1.170;0.960;0.012;0.268;0.120;0.0147;0.0017;0.94246;384;0.13141;50;7.604;30.90;10.03;2.869.607.721;1.344.157.813;1.687.762.441;1.063.995.717
Chilo‚;15øC;500ppm;0.0017;208.999.162;0.130;0.170;0.350;0.001;0.326;0.172;0.0216;0.0029;0.6876;379;0.21828;86;8.014;30.13;15.03;2.260.820.847;4.378.785.403;3.308.399.864;210.111.236
Chilo‚;15øC;500ppm;0.0083;2.364.813.379;0.050;0.060;0.820;0.011;0.380;0.142;0.0121;0.0017;0.9763;510;0.11172;57;8.014;30.13;15.03;2.438.824.051;4.729.693.665;3.577.635.581;22.720.997
Chilo‚;15øC;500ppm;0.0032;2.530.494.098;0.040;0.320;0.790;0.011;0.288;0.096;0.0086;0.001;0.89168;405;0.10515;42;8.014;30.13;15.03;2.325.760.319;4.506.816.644;3.406.614.482;2.163.486.908
Chilo‚;15øC;500ppm;0.0052;2.266.430.648;0.300;0.130;0.750;0.012;0.236;0.069;0.0053;0;0.98363;289;0.12203;35;8.014;30.13;15.03;2.484.218.188;4.819.165.796;3.646.306.838;2.315.711.727
Chilo‚;15øC;500ppm;0.0059;4.980.566.097;0.460;1.190;1.180;0.021;0.256;0.089;0.0059;0.0008;0.74696;657;0.08094;53;8.014;30.13;15.03;2.573.594.423;4.995.309.716;3.781.525.203;2.401.586.769
Chilo‚;15øC;500ppm;0.0069;2.479.275.883;0.070;0.360;0.750;0.014;0.252;0.080;0.0082;0.0007;0.81267;435;0.12562;53;8.014;30.13;15.03;2.672.875.014;5.190.948.396;3.931.745.291;2.496.989.168
Chilo‚;15øC;500ppm;0.0054;1.629.197.122;0.160;0.440;0.220;0.021;0.332;0.115;0.007;0.0007;0.89217;228;0.20281;44;8.014;30.13;15.03;3.204.047.457;6.237.294.803;4.735.707.439;3.007.572.797
Chilo‚;15øC;500ppm;0.0075;0.449092262;-1.060;0.790;0.180;0.009;0.338;0.060;0.0039;-0.0003;0.96064;343;0.13062;44;8.014;30.13;15.03;3.083.630.982;6.000.134.982;4.553.417.424;2.891.803.295
Chilo‚;15øC;500ppm;0.0117;3.844.333.567;0.400;0.490;0.630;0.028;0.290;0.123;0.0126;0.0015;0.96861;321;0.14922;47;8.014;30.13;15.03;3.268.260.634;6.363.753.007;4.832.921.821;3.069.312.111
Chilo‚;15øC;500ppm;0.0434;4.548.880.697;0.360;0.770;0.560;0.025;0.324;0.149;0.0118;0.0019;0.69111;315;0.2089;71;8.014;30.13;15.03;3.288.941.442;6.404.479.427;4.864.232.082;3.089.196.762
Chilo‚;15øC;500ppm;0.0038;2.605.948.214;0.040;0.210;0.640;0.006;0.408;0.171;0.0139;0.0017;0.87276;889;0.14625;118;8.014;30.13;15.03;2.260.820.847;4.378.785.403;3.308.399.864;210.111.236
Chilo‚;15øC;500ppm;0.0056;4.043.132.326;0.260;0.930;0.880;0.018;0.292;0.098;0.0125;0.0012;0.96561;283;0.14297;40;8.014;30.13;15.03;2.438.824.051;4.729.693.665;3.577.635.581;22.720.997
Chilo‚;15øC;500ppm;0.0057;2.291.533.818;0.140;1.000;0.230;0.014;0.408;0.089;0.0072;0.0008;0.91814;385;0.30562;117;8.014;30.13;15.03;2.325.760.319;4.506.816.644;3.406.614.482;2.163.486.908
Chilo‚;15øC;500ppm;0.0069;3.294.464.345;0.820;0.750;1.020;0.016;0.242;0.058;0.0054;0.0008;0.94258;312;0.1489;49;8.014;30.13;15.03;2.484.218.188;4.819.165.796;3.646.306.838;2.315.711.727
Chilo‚;15øC;500ppm;0.0037;2.531.769.524;0.030;0.130;1.290;0.001;0.366;0.075;0.0066;0.001;0.86258;300;0.24203;68;8.014;30.13;15.03;2.573.594.423;4.995.309.716;3.781.525.203;2.401.586.769
Chilo‚;15øC;500ppm;0.0082;2.658.863.913;-0.400;0.590;0.960;0.020;0.260;0.073;0.0059;0.0004;0.95821;210;0.09734;21;8.014;30.13;15.03;2.672.875.014;5.190.948.396;3.931.745.291;2.496.989.168
Chilo‚;15øC;500ppm;0.0056;5.374.974.882;0.110;0.980;0.640;0.024;0.360;0.171;0.0195;0.0021;0.97968;631;0.16;94;8.014;30.13;15.03;3.204.047.457;6.237.294.803;4.735.707.439;3.007.572.797
Chilo‚;15øC;500ppm;0.002;5.405.494.509;0.340;1.120;0.850;0.013;0.372;0.134;0.0141;0.0021;1;418;0;60;8.014;30.13;15.03;3.083.630.982;6.000.134.982;4.553.417.424;2.891.803.295
Chilo‚;15øC;500ppm;0.0081;4.498.108.111;0.220;1.250;0.690;0.017;0.312;0.114;0.0121;0.0009;0.91989;351;0.18797;61;8.014;30.13;15.03;3.268.260.634;6.363.753.007;4.832.921.821;3.069.312.111
Chilo‚;15øC;500ppm;0.0022;3.730.143.197;0.690;0.450;1.450;0.019;0.244;0.065;0.0074;0.0007;0.98163;255;0.07078;19;8.014;30.13;15.03;3.288.941.442;6.404.479.427;4.864.232.082;3.089.196.762
Chilo‚;15øC;500ppm;0.0031;4.553.285.112;0.100;1.290;1.170;0.009;0.398;0.094;0.0073;0.0004;0.86894;245;0.25046;66;8.014;30.13;15.03;2.438.824.051;4.729.693.665;3.577.635.581;22.720.997
Chilo‚;15øC;500ppm;0.0033;2.297.439.446;0.280;0.430;0.570;0.014;0.258;0.076;0.0051;0.0006;0.81859;287;0.14078;39;8.014;30.13;15.03;2.325.760.319;4.506.816.644;3.406.614.482;2.163.486.908
Chilo‚;15øC;500ppm;0.0061;3.053.750.731;0.390;0.620;0.840;0.021;0.418;0.145;0.0072;0.0007;0.9269;490;0.1775;85;8.014;30.13;15.03;2.484.218.188;4.819.165.796;3.646.306.838;2.315.711.727
Chilo‚;15øC;500ppm;-0.008;3.596.540.928;0.130;0.870;0.550;0.009;0.306;0.089;0.0116;0.0015;0.94964;414;0.12844;54;8.014;30.13;15.03;2.573.594.423;4.995.309.716;3.781.525.203;2.401.586.769
Chilo‚;15øC;500ppm;0.0064;2.913.266.629;0.050;0.190;0.860;0.018;0.324;0.110;0.0093;0.0012;0.91129;551;0.14656;81;8.014;30.13;15.03;2.672.875.014;5.190.948.396;3.931.745.291;2.496.989.168
Chilo‚;15øC;500ppm;0.0056;0.688146072;-0.010;0.270;0.050;0.009;0.410;0.135;0.012;0.0018;0.97279;668;0.13078;88;8.014;30.13;15.03;3.204.047.457;6.237.294.803;4.735.707.439;3.007.572.797
Chilo‚;15øC;500ppm;0.0041;1.907.062.337;0.260;0.150;0.710;0.009;0.308;0.077;0.0044;0.0008;0.89586;268;0.14437;42;8.014;30.13;15.03;3.083.630.982;6.000.134.982;4.553.417.424;2.891.803.295
Chilo‚;15øC;500ppm;0.0006;1.452.657.363;0.810;0.380;0.350;0.001;0.278;0.044;0.0026;0.0004;0.88201;306;0.12937;40;8.014;30.13;15.03;3.268.260.634;6.363.753.007;4.832.921.821;3.069.312.111
Chilo‚;15øC;500ppm;0.0048;399.646.192;0.530;0.910;0.770;0.010;0.296;0.095;0.0087;0.0009;0.87718;331;0.17656;58;8.014;30.13;15.03;3.288.941.442;6.404.479.427;4.864.232.082;3.089.196.762
Chilo‚;15øC;500ppm;0.0072;4.884.823.017;0.710;0.850;1.490;0.028;0.230;0.073;0.0071;0.0003;0.93074;434;0.11907;50;8.014;30.13;15.03;2.260.820.847;4.378.785.403;3.308.399.864;210.111.236
Chilo‚;15øC;500ppm;0.0039;1.832.044.388;0.130;0.140;0.670;0.008;0.330;0.089;0.006;0.001;0.69899;252;0.23625;58;8.014;30.13;15.03;2.438.824.051;4.729.693.665;3.577.635.581;22.720.997
Chilo‚;15øC;1500ppm;0.0072;-0.833987935;0.040;-0.510;0.120;0.014;0.426;0.159;0.0161;0.0012;0.63676;410;0.22187;89;7.695;30.16;15.18;4.126.394.917;1.886.042.824;3.066.171.597;1.948.116.109
Chilo‚;15øC;1500ppm;0.0087;2.262.917.951;0.260;0.190;0.530;0.020;0.226;0.100;0.0122;0.0013;0.84613;211;0.20922;46;7.695;30.16;15.18;4.374.816.335;2.000.341.556;3.252.223.656;206.632.574
Chilo‚;15øC;1500ppm;0.0079;1.498.385.727;0.300;0.330;0.170;0.023;0.354;0.135;0.0119;0.0014;0.79004;466;0.19515;79;7.695;30.16;15.18;400.210.703;1.828.857.552;2.973.088.399;1.888.974.971
Chilo‚;15øC;1500ppm;0.0071;1.262.606.811;0.420;0.200;0.320;0.010;0.270;0.076;0.0011;0.0022;0.99077;330;0.12235;42;7.695;30.16;15.18;4.116.221.156;1.881.361.853;3.058.552.123;1.943.275.017
Chilo‚;15øC;1500ppm;0.0072;1.756.361.428;0.310;0.130;0.700;0.022;0.264;0.070;0.008;0.0009;0.96027;86;0.12657;12;7.695;30.16;15.18;4.095.858.592;1.871.992.985;304.330.192;1.933.585.681
Chilo‚;15øC;1500ppm;0.0041;3.128.212.942;0.610;0.890;0.970;0.025;0.230;0.052;0.0069;-0.0001;1;341;0;37;7.695;30.16;15.18;4.427.555.383;2.024.606.675;3.291.722.093;2.091.421.381
Chilo‚;15øC;1500ppm;0.0055;2.232.266.192;0.110;0.330;0.590;0.012;0.302;0.107;0.009;0.0014;0.98556;214;0.1261;28;7.695;30.16;15.18;4.821.032.258;2.205.643.314;3.586.414.978;2.278.656.811
Chilo‚;15øC;1500ppm;0.0084;3.975.512.552;0.440;0.220;1.470;0.019;0.270;0.090;0.0104;0.0013;0.93131;381;0.12313;47;7.695;30.16;15.18;4.798.404.023;2.195.232.235;3.569.467.571;2.267.889.143
Chilo‚;15øC;1500ppm;0.0066;1.690.907.417;0.070;0.360;0.250;0.015;0.382;0.158;0.0157;0.0019;1;495;0;67;7.695;30.16;15.18;5.131.688.443;2.348.573.294;3.819.081.711;242.648.344
Chilo‚;15øC;1500ppm;0.0046;0.661032465;0.320;0.040;0.030;-0.001;0.482;0.130;0.0068;0.0018;0.88616;284;0.27515;68;7.695;30.16;15.18;4.126.394.917;1.886.042.824;3.066.171.597;1.948.116.109
Chilo‚;15øC;1500ppm;0.0046;1.389.316.529;0.130;0.350;0.550;0.003;0.266;0.071;0.0048;-1,00E-04;0.90841;452;0.13282;62;7.695;30.16;15.18;4.374.816.335;2.000.341.556;3.252.223.656;206.632.574
Chilo‚;15øC;1500ppm;0.0062;3.625.242.286;0.360;0.770;1.020;0.011;0.252;0.084;0.0092;0.0017;0.96763;288;0.11454;33;7.695;30.16;15.18;4.116.221.156;1.881.361.853;3.058.552.123;1.943.275.017
Chilo‚;15øC;1500ppm;0.0094;2.235.709.014;0.490;0.370;0.370;0.026;0.276;0.101;0.0107;0.0014;0.85303;290;0.17484;50;7.695;30.16;15.18;4.095.858.592;1.871.992.985;304.330.192;1.933.585.681
Chilo‚;15øC;1500ppm;0.0064;1.444.502.197;0.440;0.730;0.190;0.013;0.210;0.051;0.0032;0.0011;0.99539;409;0.07219;30;7.695;30.16;15.18;4.427.555.383;2.024.606.675;3.291.722.093;2.091.421.381
Chilo‚;15øC;1500ppm;0.0085;341.134.557;0.280;0.320;1.030;0.021;0.294;0.108;0.0122;0.0008;0.89342;442;0.13141;57;7.695;30.16;15.18;4.821.032.258;2.205.643.314;3.586.414.978;2.278.656.811
Chilo‚;15øC;1500ppm;0.0066;2.393.143.548;0.080;0.460;0.520;0.008;0.384;0.132;0.0125;0.0023;0.81562;351;0.19484;67;7.695;30.16;15.18;4.798.404.023;2.195.232.235;3.569.467.571;2.267.889.143
Chilo‚;15øC;1500ppm;0.002;2.325.438.156;0.040;0.170;0.720;0.013;0.426;0.153;0.0091;0.0012;0.85217;354;0.26062;91;7.695;30.16;15.18;5.050.318.683;2.311.135.933;3.758.139.468;2.387.763.309
Chilo‚;15øC;1500ppm;0.01;2.368.657.242;0.180;0.580;0.530;0.016;0.430;0.103;0.0094;0.002;0.82489;269;0.1939;55;7.695;30.16;15.18;5.131.688.443;2.348.573.294;3.819.081.711;242.648.344
Chilo‚;15øC;1500ppm;-0.0087;1.091.391.613;0.410;0.470;0.220;-0.037;0.300;0.046;0.0043;0.001;0.90339;693;0.12281;80;7.695;30.16;15.18;4.126.394.917;1.886.042.824;3.066.171.597;1.948.116.109
Chilo‚;15øC;1500ppm;0.01;1.531.882.912;0.310;0.140;0.490;0.011;0.312;0.080;0.0064;0.0009;0.92542;101;0.09578;10;7.695;30.16;15.18;4.374.816.335;2.000.341.556;3.252.223.656;206.632.574
Chilo‚;15øC;1500ppm;-0.0199;1.347.217.419;0.170;0.400;0.610;-0.051;0.260;0.044;0.0029;0.0006;0.82716;385;0.11703;44;7.695;30.16;15.18;400.210.703;1.828.857.552;2.973.088.399;1.888.974.971
Chilo‚;15øC;1500ppm;0.018;1.993.541.077;0.170;0.830;0.340;0.008;0.298;0.067;0.0039;-0.0004;0.82379;433;0.10672;45;7.695;30.16;15.18;4.116.221.156;1.881.361.853;3.058.552.123;1.943.275.017
Chilo‚;15øC;1500ppm;0.0083;-6.050.823.558;0.090;-2.964;0.350;0.018;0.330;0.133;0.0125;0.0022;0.96046;270;0.15125;44;7.695;30.16;15.18;4.095.858.592;1.871.992.985;304.330.192;1.933.585.681
Chilo‚;15øC;1500ppm;0.0124;0.935900194;0.140;0.120;0.120;0.030;0.370;0.163;0.0145;0.0017;0.97421;365;0.20266;74;7.695;30.16;15.18;4.427.555.383;2.024.606.675;3.291.722.093;2.091.421.381
Chilo‚;15øC;1500ppm;-0.0015;2.005.344.672;0.280;0.220;0.440;0.006;0.306;0.104;0.008;0.0007;0.77952;213;0.19094;41;7.695;30.16;15.18;4.821.032.258;2.205.643.314;3.586.414.978;2.278.656.811
Chilo‚;15øC;1500ppm;0.004;200.864.678;0.270;1.040;0.400;0.012;0.248;0.043;0.0038;0.0021;0.58394;193;0.19375;41;7.695;30.16;15.18;4.798.404.023;2.195.232.235;3.569.467.571;2.267.889.143
Chilo‚;15øC;1500ppm;0.0015;1.125.345.354;0.220;0.150;0.350;0.006;0.396;0.090;0.006;0.0011;0.9523;245;0.18391;46;7.695;30.16;15.18;5.050.318.683;2.311.135.933;3.758.139.468;2.387.763.309
Chilo‚;15øC;1500ppm;0.0044;1.575.305.679;0.100;0.320;0.440;0.017;0.314;0.083;0.0082;0.0015;0.8977;434;0.1;43;7.695;30.16;15.18;5.131.688.443;2.348.573.294;3.819.081.711;242.648.344
Chilo‚;15øC;1500ppm;0.0158;2.648.279.684;0.320;0.690;0.460;0.036;0.262;0.086;0.0102;0.0011;0.97621;281;0.09562;28;7.695;30.16;15.18;4.126.394.917;1.886.042.824;3.066.171.597;1.948.116.109
Chilo‚;15øC;1500ppm;0.0039;2.123.287.007;0.080;0.490;0.850;0.008;0.340;0.064;0.0035;0.0008;0.94794;333;0.08126;31;7.695;30.16;15.18;4.374.816.335;2.000.341.556;3.252.223.656;206.632.574
Talcaruca;10øC;500ppm;-0.0092;2.161.030.363;0.210;2.530;1.290;0.021;0.382;0.249;0.017;0.002;0.67012;361;0.31063;109;7.968.810.547;34.43;10.47;9.950.677.606;167.338.182;1.333.619.653;0.848142917
Talcaruca;10øC;500ppm;0;2.113.582.374;0.100;1.940;0.720;0.038;0.366;0.183;0.0153;0.0025;0.91356;2.575.194;0.15297;37.495;7.968.810.547;34.43;10.47;3.885.528.431;5.943.410.262;0.45806213;0.291314057
Talcaruca;10øC;500ppm;0.0052;1.114.897.205;0.020;0.860;0.340;-0.008;0.326;0.182;0.0104;0.0008;0.74114;101;0.41875;46;7.968.810.547;34.43;10.47;5.018.666.814;7.978.488.662;0.620266886;0.394471516
Talcaruca;10øC;500ppm;-0.0506;1.230.433.942;-0.020;0.780;0.290;-0.143;0.332;0.191;0.0091;0.0007;0.86476;299;0.22032;61;7.968.810.547;34.43;10.47;5.255.217.167;8.401.806.615;0.654236104;0.41607494
Talcaruca;10øC;1500ppm;0.0016;952.394.023;0.290;1.200;0.400;0.043;0.302;0.154;0.0116;0.0022;0.85051;309;0.21641;64;7.634;34.68;10.26;1.688.989.987;7.059.431.551;1.143.399.729;0.727194859
Talcaruca;10øC;1500ppm;0.031;1.396.979.973;0.200;1.580;0.340;0.045;0.336;0.157;0.0064;0.0009;0.7809;245;0.26157;68;7.634;34.68;10.26;1.927.966.104;807.447.778;1.308.795.002;0.832385186
