localidad;temperatura;ppm;pb_final-inicial;vol_f-i;largo_f-i;ancho_f-i;alto_f-i;pt_f-i;mdc_f;peso_seco_de_la_concha;volumen_cm;pseco_mb;p_ldc;r2;pendiente;extension_max;carga_max;ph_promedio_25C;salinidad;temperatura ;alcalinidad_total ;pCO2;calcita;aragonita;pendiente;R2;ml/g_l_h_14C;mgo2_h_g_1;lat/min;modulo_elastico;estres_max;presion_Max;r2;a;b;c;d;e;f;g
Quintay;15°C;1500ppm;0.024;-1.237.947;-1.37;0.42;1.13;0.092;0.576;0.323;-12.379;0.016;0.003;0.984;434.07;0.202;77.85;7.840.125;31.625;16;2.136.018.581;3.184.367.791;2.184.942.486;1.363.072.499;0.015;0.747;0.007;0.034;16.476;335.355;393.647;1.199;0.999;1.535.707;1.723.971;1.600.986;1.801.761;2.069.547;1.908.622;1.607.126
Quintay;15°C;1500ppm;0.012;-650.715;-0.25;0.82;0.45;0.07;0.64;0.317;-6.507;0.017;0.003;0.972;533.27;0.11;52.891;7.840.125;31.625;16;2.092.066.811;311.867.913;2.138.103.564;133.385.212;0.022;0.838;0.01;0.052;42.516;354.475;152.691;0.444;0.987;1.869.391;1787.23;1.632.042;1.801.761;1.613.301;1.638.362;1861.69
Quintay;15°C;1500ppm;0.031;176.687;0.17;-0.28;-0.38;0.092;0.516;0.124;1.767;0.005;0.001;0.98;362.39;0.148;47.901;773.025;32.35;15.4;2.021.101.059;4.104.828.725;1.612.205.755;1.007.659.412;na;na;na;na;na;322.429;105.915;0.354;0.913;1.854.037;1.765.762;1.529.972;1.447.657;1.582.776;1.496.223;1.651.112
Quintay;15°C;500ppm;0.009;622.355;0.1;0.17;-1.12;0.142;0.424;0.36;6.224;0.014;0.003;0.924;410.29;0.256;108.982;8.043.625;32;15;2.264.615.624;2.026.174.971;3.452.765.591;2.156.137.053;0.035;0.949;0.016;0.071;26.076;354.738;324.988;0.964;0.955;1.703.629;1.426.827;1.564.875;1.553.109;1.535.707;1.391.442;1.288.409
Quintay;15°C;500ppm;0.014;-48.839;-0.44;0.23;-0.25;0.062;0.302;0.146;-0.488;0.009;0.001;0.902;312.14;0.093;28.417;8.019.875;32.4;15.23;235.829.766.999.999;2.222.844.107;3.482.423.185;2.176.849.055;0.016;0.81;0.007;0.08;11.244;176.976;69.16;0.419;0.951;1.437.185;1.416.581;1.869.391;1.990.881;1.758.692;1.751.664;1421.69
Quintay;10°C;1500ppm;0.026;-1.201.481;-1;1.07;0.25;0.113;0.432;0.41;-12.015;0.03;0.005;0.944;455.21;0.159;69.26;76.595;32.025;10.9;2.297.232.755;665.964.527;1.346.773.574;0.841069432;0.014;0.801;0.006;0.025;10.836;67.874;5.241;0.071;0.915;1717.15;1.854.037;1.838.871;1.892.783;1.940.902;1.730.832;1.594.881
Quintay;15°C;500ppm;0.024;-658.005;-0.43;0.29;0.38;0.155;0.696;0.725;-6.58;0.026;0.005;0.999;609.14;0.336;197.176;81.435;31.05;15.8;2.349.646.771;1.554.958.367;4.403.017.391;2.742.406.012;0.021;0.901;0.01;0.021;9.6;439.669;231.769;0.543;0.984;1.333.772;1.751.664;1.664.011;1.301.772;1.703.629;2.554.996;1.982.418
Quintay;15°C;500ppm;-0.003;179.743;-0.02;-0.08;-0.27;0.084;0.632;0.465;1.797;0.013;0.003;0.842;131.93;0.543;79.614;79.425;32.375;15.2;2.282.672.244;265.649.682;2.870.471.542;1.794.210.209;0.012;0.857;0.006;0.019;12.54;180.824;31.796;0.186;0.923;1.352.591;1371.81;1.406.444;969.733;1.224.584;1.426.827;1.607.126
Quintay;10°C;1500ppm;0.014;-1.563.355;-3.12;0.62;1.62;0.026;0.422;0.223;-15.634;0.011;0.002;0.986;445.14;0.161;64.637;7.640.625;32.825;10.4;1.891.297.183;5.822.347.733;1.057.160.004;0.661497101;0.01;0.915;0.005;0.033;19.812;163.564;49.282;0.31;0.978;1.463.579;1.625.759;1.683.645;1.447.657;1.490.707;1.809.092;1.529.972
Quintay;15°C;500ppm;0.016;-495.518;-0.22;0.01;0.68;0.182;0.464;0.324;-4.955;0.016;0.004;0.985;207.47;0.115;23.149;81.435;31.05;15.8;2.349.646.771;1.554.958.367;4.403.017.391;2.742.406.012;na;na;na;na;na;178.879;17.14;0.099;0.975;2.494.382;1.957.351;2.042.815;1.908.622;1861.69;1.638.362;1.737.735
