localidad;temperatura;ppm;pb_final-inicial;vol_f-i;largo_f-i;ancho_f-i;alto_f-i;pt_f-i;mdc_f;peso_seco_de_la_concha;volumen_cm;pseco_mb;p_ldc;r2;pendiente;extension_max;carga_max;ph_promedio_25C;salinidad;temperatura ;alcalinidad_total ;pCO2;calcita;aragonita;pendiente;R2;ml/g_l_h_14C;mgo2_h_g_1;lat/min;modulo_elastico;estres_max;presion_Max;r2;a;b;c;d;e;f;g
Quintay;15°C;500ppm;0.025;-396.374;-0.42;-0.01;0.37;0.121;0.644;0.48;-3.964;0.028;0.005;0.984;369.22;0.377;124.473;812.675;32.825;14.7;2.343.447.901;1.676.793.955;4.224.320.939;2.643.285.825;0.009;0.83;0.004;0.013;18.876;427.627;199.657;0.482;0.98;1.765.762;1.319.915;1.677.062;2.939.113;1.965.653;1.512.956;1.690.267
Quintay;10°C;500ppm;0.002;-633.93;-0.15;0.75;-0.06;0.247;0.656;0.784;-6.339;0.039;0.009;0.987;293.35;0.28;77.646;8.103.375;32.725;10;2.345.651.721;21.950.814;3.491.862.634;218.445.449;0.016;0.878;0.007;0.015;17.88;262.057;117.153;0.451;0.97;na;na;na;na;na;na;na
Quintay;10°C;1500ppm;0.016;-580.865;-0.17;0.41;0.29;0.033;0.824;0.655;-5.809;0.03;0.003;0.967;421.67;0.36;157.296;781.375;32.925;10.5;2.310.505.015;45.414.716;1.917.146.955;1.199.893.223;0.017;0.782;0.008;0.02;25.068;335.36;204.014;0.628;0.985;1.625.759;1.780.031;1.632.042;1.381.574;1.651.112;1.376.679;1.690.267
Quintay;15°C;500ppm;0.001;216.696;0.28;-0.16;-0.06;0.111;0.394;0.16;2.167;0.019;0.004;0.931;305.19;0.319;103.304;8.043.625;32;15;2.279.124.666;2.039.258.544;3.476.075.272;2.170.693.172;0.012;0.887;0.006;0.021;27.12;287.093;257.985;0.911;0.996;1.258.018;1421.69;1.411.499;1.391.442;1.366.967;987.285;1.507.348
Quintay;10°C;500ppm;-0.005;142.455;3.07;1.27;0.01;0.241;na;na;1.425;na;na;na;na;na;na;8.103.375;32.725;10;2.353.828.052;2.202.844.996;3.504.599.676;2.192.422.583;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
Quintay;15°C;1500ppm;-0.004;-51.368;0.1;0.32;-0.17;0.184;0.56;0.492;-0.514;0.028;0.006;0.986;544.09;0.197;93.912;774.225;32.85;15.5;2.314.494.556;452.264.378;1.928.318.278;120.667.708;0.088;0.726;0.04;0.131;21.036;77.335;8.017;0.074;0.007;1421.69;1.416.581;1.588.811;1501.77;1.607.126;1.651.112;1.582.776
Quintay;10°C;1500ppm;0.021;-572.163;-0.43;0.34;0.31;0.16;0.542;0.458;-5.722;0.032;0.007;0.978;708.07;0.153;92.788;76.595;32.025;10.9;2.301.644.276;6.672.515.854;1.349.408.814;0.842715158;0.01;0.889;0.005;0.016;21.78;216.532;16.863;0.079;0.971;1.496.223;1.046.122;1139.22;1421.69;1.564.875;1.396.416;1.310.796
Quintay;15°C;1500ppm;0.003;-126.928;0.06;0.33;-0.09;0.249;0.776;0.608;-1.269;0.023;0.004;0.993;699.2;0.244;159.602;7.746.375;31.725;15.5;2.277.701.648;4.437.929.771;1.875.063.228;1.170.069.126;0.01;0.585;0.005;0.012;20.976;300.905;62.055;0.211;0.961;1.638.362;1.710.369;1.570.808;1.524.268;1.479.766;1.576.775;2.096.807
Quintay;10°C;1500ppm;0.013;-129.388;0.03;-0.37;0.55;0.129;0.624;0.436;-1.294;0.023;0.004;0.99;427.11;0.289;112.794;7.640.625;32.825;10.4;1.886.266.353;5.806.720.641;1.054.288.363;0.659700228;na;na;na;na;na;360.995;147.74;0.422;0.995;1.690.267;1.651.112;1.613.301;1.632.042;2.016.597;1787.23;1.564.875
Quintay;15°C;500ppm;0.012;-735.445;-0.03;0.86;0.51;0.104;0.5;0.349;-7.354;0.009;0;0.966;204.15;0.274;47.283;8.047.666.667;3.226.666.667;15.4;2.322.596.692;2.016.503.314;3.633.672.503;2.270.644.731;0.022;0.862;0.01;0.047;34.644;141.693;12.52;0.086;0.979;1.474.341;1.547.276;1.670.517;1.588.811;1.846.431;1.884.937;1.644.718
Quintay;15°C;500ppm;0.199;-27.91;0.01;0.45;-0.23;0.151;0.406;0.286;-0.279;0.01;0.003;0.932;269.65;0.186;52.759;8.010.333.333;3.273.333.333;15.1;2.319.339.985;2.249.627.236;3.360.957.467;2.102.603.426;0.012;0.713;0.006;0.056;38.772;220.611;55.198;0.264;0.963;1501.77;1.411.499;1877.14;1.854.037;1.613.301;1.683.645;1.452.935
Quintay;15°C;1500ppm;0.038;17.035;-0.12;0.01;-0.13;0.04;na;na;0.17;;na;na;na;na;na;774.225;32.85;15.5;2.305.865.588;4.505.741.568;1.920.895.309;1.202.032.034;na;na;na;na;35.532;na;na;na;na;na;na;na;na;na;na;na
Quintay;10°C;500ppm;-0.002;-595.777;0.09;0.16;1.15;0.086;0.608;0.344;-5.958;0.013;0.002;0.98;628;0.16;92.41;803.425;32.775;10.8;2.316.854.763;2.522.150.603;3.080.715.667;1.927.473.107;0.008;0.754;0.004;0.018;47.328;286.893;281.388;1.016;0.997;1.463.579;1.723.971;1.496.223;1.381.574;1.347.849;1338.44;1.391.442
Quintay;10°C;1500ppm;0.008;-2.292.078;-3.16;2.48;2.39;0.183;0.59;0.312;-22.921;0.02;0.003;0.93;590.32;0.249;139.55;780.025;32.3;10.9;1.917.993.249;3.854.695.953;1.539.471.578;0.962079929;0.01;0.882;0.005;0.024;24.036;277.735;125.304;0.46;0.995;1.730.832;1.723.971;1.854.037;1.974.009;1.690.267;1.772.875;1.751.664
Quintay;15°C;1500ppm;0.012;-534.784;-0.12;0.54;0.54;0.103;0.754;0.317;-5.348;0.014;0.002;0.934;360.26;0.438;168.128;784.275;32.225;15.4;2.326.660.171;3.511.568.631;2.381.293.275;1.487.890.545;0.017;0.918;0.008;0.038;24.252;597.919;134.532;0.236;0.967;1.638.362;1.570.808;1.524.268;1.900.678;1.916.616;1.644.718;1.737.735
Quintay;10°C;500ppm;0.008;17.13;-0.13;-0.25;0.05;0.048;0.282;0.075;0.171;0.004;0;0.955;260.77;0.12;27.65;8.006.666.667;3.303.333.333;10.7;2.293.016.645;2.692.673.683;288.389.231;1.805.398.039;0.008;0.919;0.004;0.082;na;177.238;34.064;0.191;0.974;1.619.512;1.315.344;1787.23;1.232.816;1717.15;1.613.301;1.703.629
Quintay;10°C;1500ppm;-0.003;262.66;-0.02;-0.06;-0.37;0.14;0.658;0.462;2.627;0.017;0.003;0.966;473.82;0.462;196.717;7.651;32.575;10.6;1.983.423.193;591.424.838;113.813.882;0.711748265;0.01;0.729;0.004;0.015;13.452;138.864;9.042;0.064;0.926;1.730.832;1.723.971;1.854.037;1.974.009;1.690.267;1.772.875;1.751.664
Quintay;10°C;500ppm;-0.002;-210.259;-0.1;0.01;0.2;0.391;0.71;0.732;-2.103;0.03;0.007;0.992;452.13;0.195;83.825;8.006.666.667;3.303.333.333;10.7;2.317.440.282;2.721.659.999;2.915.921.179;1.825.449.015;0.01;0.801;0.005;0.01;24.444;353.837;305.966;0.873;0.998;1.664.011;1.437.185;1.396.416;1.192.465;1371.81;1.664.011;1.529.972
Quintay;15°C;500ppm;0.041;-71.009;-0.18;-0.38;0.28;0.181;0.438;0.185;-0.71;0.021;0.003;na;na;na;na;7.981.833.333;3.283.333.333;10.7;2.239.173.792;2.812.206.348;2.664.854.215;1.667.512.357;0.019;0.936;0.009;0.048;39.324;131.032;9.345;0.069;0.99;1.490.707;1362.15;1.343.132;1.619.512;1.442.407;1.582.776;1.558.975
Quintay;10°C;500ppm;-0.005;483.338;-0.04;-1.54;0.71;0.22;0.604;0.485;4.833;0.024;0.005;0.97;228.99;0.329;71.893;7.981.833.333;3.283.333.333;10.7;2.282.237.292;2.866.835.783;2.718.234.292;1.700.914.537;0.004;0.651;0.002;0.007;23.256;148.784;167.872;1.158;0.979;1.664.011;1.625.759;1.690.267;1.485.222;1.512.956;1.625.759;1.657.543
Quintay;10°C;500ppm;0;-689.163;0.02;1.21;0.08;0.152;0.434;0.373;-6.892;0.022;0.006;0.969;579.2;0.122;60.527;799.475;32.425;10.75;2.341.210.252;2.845.317.768;2.852.151.616;1.782.977.997;0.009;0.77;0.004;0.018;13.14;221.439;79.505;0.367;0.991;1.846.431;1.607.126;2.211.418;2.346.516;2.282.668;2.424.449;1.854.037
Quintay;10°C;1500ppm;0.01;-1.031.613;0.52;1.32;0.89;0.169;0.498;0.421;-10.316;0.017;0.003;0.99;410.24;0.308;120.59;7.644.875;32.7;10.8;228.069.447;6.859.616.945;130.573.925;0.816801918;0.01;0.88;0.005;0.017;22.92;378.811;275.843;0.788;0.858;1.831.358;1.838.871;1861.69;1.823.891;1.744.679;1.683.645;1.737.735
Quintay;15°C;500ppm;0.001;-109.116;0.17;0.51;0.01;0.021;0.392;0.164;-1.091;0.01;0.001;0.975;312.58;0.236;75.975;8.019.875;32.4;15.23;235.829.766.999.999;2.222.844.107;3.482.423.185;2.176.849.055;na;na;na;na;11.76;91.632;17.456;0.186;0.92;1362.15;1.131.905;1.518.596;1.266.591;1.275.251;1362.15;1.347.849
Quintay;15°C;1500ppm;0.009;-146.608;0.08;1.2;-0.4;0.06;0.334;0.099;-1.466;0.005;0.001;0.96;563.65;0.173;89.014;7.777.375;31.475;16;2.336.868.346;4.122.151.713;2.086.260.747;1.300.978.001;0.01;0.802;0.005;0.071;13.488;439.214;330.097;0.792;0.995;1.831.358;1.600.986;1.541.475;1.677.062;1.940.902;1.670.517;2.162.549
Quintay;15°C;500ppm;0.016;-323.584;0.3;0.48;0.23;-0.037;0.73;0.471;-3.236;0.031;0.006;0.703;96.257;0.465;50.155;81.435;31.05;15.8;2.349.646.771;1.554.958.367;4.403.017.391;2.742.406.012;0.024;0.962;0.011;0.037;46.212;395.452;267.528;0.704;0.987;1.352.591;1.512.956;1.916.616;1.809.092;1.582.776;1.396.416;1.846.431
Quintay;15°C;500ppm;0.121;-926.564;-0.92;0.34;1.03;0.289;0.426;0.263;-9.266;0.014;0.004;0.908;452.85;0.137;59.814;79.425;32.375;15.2;2.282.672.244;265.649.682;2.870.471.542;1.794.210.209;0.028;0.959;0.013;0.123;19.86;140.287;14.522;0.096;0.842;1.184.633;1.161.594;1.744.679;1.188.539;1.558.975;1.816.469;1787.23
Quintay;15°C;500ppm;0.011;-121.744;0.48;1.13;-0.26;0.076;0.422;0.143;-1.217;0.009;0.002;0.992;389.68;0.181;63.003;80.455;31.825;15.8;1.931.834.259;1.662.580.977;2.993.171.672;1.868.282.312;na;na;na;na;13.5;319.576;325.778;1.052;0.992;1.184.633;1.161.594;1.744.679;1.188.539;1.558.975;1.816.469;1787.23
Quintay;10°C;500ppm;-0.001;-20.751;0.07;0.52;-0.33;0.035;0.548;0.288;-0.208;0.01;0.002;0.966;325.32;0.204;67.64;799.475;32.425;10.75;2.282.585.588;2.773.394.006;277.785.532;1.736.532.829;na;na;na;na;28.368;126.012;173.937;1.41;0.988;1.113.925;1.017.614;936.006;1.900.678;1371.81;1.625.759;1.794.473
Quintay;10°C;500ppm;0.001;370.624;-0.01;-0.27;-0.22;0.126;0.468;0.544;3.706;0.035;0.009;0.992;493.76;0.158;70.578;8.018.375;32.8;10.5;2.400.913.065;2.761.856.477;306.737.586;1.919.238.755;na;na;na;na;10.812;149.158;33.418;0.22;0.977;1.651.112;1.758.692;1.751.664;2.357.417;1.892.783;1.974.009;1.924.661
Quintay;10°C;500ppm;0.015;-789.51;-0.55;0.21;0.71;0.215;0.562;0.459;-7.895;0.005;0.001;0.818;265.33;0.425;114.137;8.018.375;32.8;10.5;2.390.886.986;2.750.205.135;3.054.040.667;1.910.895.004;0.007;0.559;0.003;0.011;17.628;301.635;81.204;0.274;0.966;1.982.418;1.529.972;1.751.664;2.231.431;1.772.875;2.106.014;2.201.513
Quintay;15°C;1500ppm;0.038;-528.692;-0.43;0.16;0.39;0.138;0.466;0.372;-5.287;0.022;0.004;0.972;568.96;0.203;109.707;770.775;32.2;15.3;1.888.990.896;4.089.829.015;1.421.236.802;0.887967852;0.013;0.861;0.006;0.025;38.496;529.628;520.846;1.031;0.994;1.150.325;1.017.614;993.241;1.594.881;1.664.011;1.376.679;1717.15
Quintay;15°C;500ppm;0.02;-95.819;-0.05;0;0.19;0.025;na;na;-0.958;na;na;na;na;na;na;805.625;32.85;15.4;2.000.759.724;1.685.671.006;3.183.660.021;1.992.227.954;0.021;0.945;0.01;0.109;16.824;na;na;na;na;1.184.633;1.161.594;1.744.679;1.188.539;1.558.975;1.816.469;1787.23
Quintay;10°C;1500ppm;0.01;-155.621;-0.43;0.59;-0.27;0.109;0.324;0.168;-1.556;0.01;0.002;0.943;433.19;0.106;45.091;7.644;32.925;10.9;2.282.682.961;6.846.371.818;1.314.108.192;0.822466692;0.006;0.665;0.003;0.027;22.2;136.583;5.097;0.033;0.912;1.657.543;1.940.902;1.391.442;1.474.341;1.744.679;1204.36;1.442.407
Quintay;15°C;1500ppm;0.011;-419.293;0.23;0.45;0.41;0.12;0.688;0.438;-4.193;0.017;0.002;0.983;362.67;0.242;90.315;7.840.125;31.625;16;2.136.018.581;3.184.367.791;2.184.942.486;1.363.072.499;0.015;0.917;0.007;0.025;17.916;479.45;199.096;0.435;0.995;1.553.109;1.437.185;1.670.517;1.644.718;1.582.776;1.607.126;1.463.579
Quintay;10°C;500ppm;0.013;-307.231;0.33;0.08;0.57;0.057;0.47;0.363;-3.072;0.019;0.005;0.939;557.57;0.14;71.689;80.905;31.75;10.8;230.964.649;2.179.546.659;338.230.452;2.110.752.232;na;na;na;na;25.752;188.369;126.726;0.7;0.984;1.949.101;1.677.062;1.884.937;1.965.653;1.846.431;1877.14;1.801.761
Quintay;15°C;500ppm;0.04;-88.75;0.03;0.01;0.19;0.041;na;na;-0.887;na;na;na;na;na;na;812.675;32.825;14.7;2.302.453.653;1.647.090.106;4.146.071.769;2.594.322.945;na;na;na;na;23.532;na;na;na;na;na;na;na;na;na;na;na
Quintay;10°C;1500ppm;0.022;-709.89;-0.4;0.39;0.46;0.197;0.636;0.512;-7.099;0.03;0.006;0.966;669.08;0.192;124.845;7.644.875;32.7;10.8;228.069.447;6.859.616.945;130.573.925;0.816801918;0.01;0.822;0.005;0.014;33.552;271.842;102.1;0.397;0.992;1.751.664;1.657.543;1.884.937;1.485.222;1.576.775;1.570.808;1.765.762
Quintay;10°C;1500ppm;0.03;-250.958;-0.48;1.11;-0.47;0.069;0.446;0.217;-2.51;0.011;0.001;0.911;275.12;0.418;120.619;765.275;32.975;10.8;2.286.169.785;6.727.217.027;1.339.477.404;0.838440122;na;na;na;na;na;138.628;30.332;0.201;0.92;1.184.633;1.644.718;1.301.772;1.496.223;1.411.499;1.442.407;1.301.772
Quintay;15°C;1500ppm;0.017;-861.753;0.06;1.25;0.61;0.066;0.366;0.224;-8.618;0.019;0.004;0.781;230.57;0.129;32.411;773.025;32.35;15.4;2.021.101.059;4.104.828.725;1.612.205.755;1.007.659.412;0.013;0.825;0.006;0.041;21.24;147.22;7.995;0.05;0.974;1.541.475;1.696.928;1.507.348;1.632.042;1.651.112;1421.69;1.468.945
Quintay;10°C;1500ppm;0.026;-134.392;-0.07;0.17;0.23;0.044;na;na;-1.344;na;na;na;na;na;na;7.640.625;32.825;10.4;1.886.266.353;5.806.720.641;1.054.288.363;0.659700228;na;na;na;na;11.76;na;na;na;na;1362.15;1.131.905;1.518.596;1.266.591;1.275.251;1362.15;1.347.849
Quintay;15°C;1500ppm;0.019;-124.922;0.13;1.05;-0.26;0.079;0.358;0.115;-1.249;0.017;0.004;0.942;439.87;0.07;28.902;774.225;32.85;15.5;2.305.865.588;4.505.741.568;1.920.895.309;1.202.032.034;0.023;0.896;0.01;0.143;29.772;296.029;313.003;1.093;0.98;1.570.808;1.447.657;1.333.772;1.496.223;1.696.928;1.638.362;2181.9
Quintay;10°C;500ppm;0.028;-595.514;0;0.44;0.75;0.103;0.332;0.239;-5.955;0.02;0.004;0.953;149.71;0.082;11.411;80.905;31.75;10.8;2.377.678.283;2.244.554.512;3.486.575.124;2.175.823.076;na;na;na;na;30.396;53.672;16.237;0.292;0.99;1.932.756;1.518.596;1.512.956;1.396.416;1.838.871;1.564.875;1.823.891
Quintay;10°C;500ppm;0.026;-743.399;-0.52;0.18;0.52;0.163;0.702;0.656;-7.434;0.029;0.008;0.986;368.83;0.135;46.893;80.535;32.525;11;2.368.609.249;2.433.554.079;328.546.813;2.054.358.274;na;na;na;na;9.924;240.736;144.043;0.614;0.988;1.512.956;1.632.042;2.069.547;1.974.009;1.632.042;1717.15;1.607.126
Quintay;10°C;1500ppm;0.061;-170.355;-0.05;0.06;0.23;0.083;na;na;-1.704;na;na;na;na;na;na;781.375;32.925;10.5;2.316.039.204;4.552.422.177;1.921.871.781;1.202.850.371;0.024;0.962;0.011;0.056;21.084;na;na;na;na;1.352.591;1.512.956;1.916.616;1.809.092;1.582.776;1.396.416;1.846.431
Quintay;15°C;500ppm;0.037;-8.354;-0.03;0.05;-0.04;0.032;na;na;-0.084;na;na;na;na;na;na;8.043.625;32;15;2.264.615.624;2.026.174.971;3.452.765.591;2.156.137.053;na;na;na;na;31.404;na;na;na;na;na;na;na;na;na;na;na
Quintay;15°C;1500ppm;0.005;153.478;-0.05;-0.12;-0.16;0.148;0.456;0.357;1.535;na;na;na;na;na;na;77.175;32.425;15.1;234.628.606;4.984.780.793;1.812.514.803;1.133.065.295;0.008;0.788;0.003;0.016;27.156;295.125;79.123;0.276;0.965;2.908.891;1.600.986;1.723.971;1.644.718;1.485.222;1.664.011;1.651.112
Quintay;15°C;1500ppm;0.016;-345.235;-0.1;0.2;0.44;0.157;0.506;0.265;-3.452;0.012;0.002;0.995;607.33;0.115;60.52;773.575;31.95;15.3;-1.619.594.178;-3.253.141.184;-1.353.849.449;-8.453.243.719;0.01;0.069;0.005;0.027;15.48;359.621;28.813;0.078;0.995;1.333.772;1.411.499;1.352.591;1.292.841;1.376.679;1.594.881;1.600.986
Quintay;15°C;500ppm;0.014;80.651;0.21;0.09;-0.32;0.016;na;na;0.807;na;na;na;na;na;na;8.047.666.667;3.226.666.667;15.4;2.300.921.407;1.997.541.872;3.597.926.635;2.248.307.505;na;na;na;na;32.532;na;na;na;na;1.638.362;1.570.808;1.524.268;1.900.678;1.916.616;1.644.718;1.737.735
Quintay;10°C;1500ppm;0.017;43.63;0.25;0.03;-0.04;0.033;na;na;0.436;na;na;na;na;na;na;76.595;32.025;10.9;2.297.232.755;665.964.527;1.346.773.574;0.841069432;na;na;na;na;36.516;na;na;na;na;na;na;na;na;na;na;na
Quintay;15°C;1500ppm;0.041;122.573;0.07;-0.53;0;0.041;0.356;0.097;1.226;0.018;0.001;0.966;428.35;0.144;54.846;774.225;32.85;15.5;2.314.494.556;452.264.378;1.928.318.278;120.667.708;0.008;0.719;0.004;0.063;32.736;250.465;14.556;0.055;0.983;1228.69;1.165.387;1.176.878;1.241.132;1.644.718;1.426.827;1371.81
Quintay;10°C;1500ppm;0.014;-16.669;0;-0.06;0.13;0.016;na;na;-0.167;na;na;na;na;na;na;7.640.625;32.825;10.4;1.891.297.183;5.822.347.733;1.057.160.004;0.661497101;na;na;na;na;24.792;na;na;na;na;na;na;na;na;na;na;na
Quintay;10°C;1500ppm;0.029;-100.002;0.05;0.06;0.37;0.033;na;na;-1;na;na;na;na;na;na;780.025;32.3;10.9;1.935.465.082;3.890.110.505;1.553.954.128;0.971130679;na;na;na;na;22.608;na;na;na;na;na;na;na;na;na;na;na
Quintay;10°C;1500ppm;0.013;-102.236;-0.19;0.26;-0.01;0.033;na;na;-1.022;na;na;na;na;na;na;7.651;32.575;10.6;1.961.586.601;5.848.597.216;1.125.344.904;0.703747441;na;na;na;na;16.584;na;na;na;na;na;na;na;na;na;na;na
Quintay;10°C;500ppm;0.019;-122.865;0.52;0.32;0.18;0.063;0.656;0.478;-1.229;0.024;0.004;0.889;209;0.162;35.071;7.982.125;32.95;10.4;1.931.399.445;2.447.545.975;226.752.194;1.419.264.925;na;na;na;na;10.656;159.346;29.192;0.187;0.986;1.553.109;1.391.442;1.411.499;1.386.495;1.411.499;1.416.581;1.411.499
Quintay;10°C;500ppm;0.008;-68.292;-0.07;0.4;-0.15;0.024;0.418;0.187;-0.683;0.013;0.003;0.984;334.88;0.248;72.834;800.975;33.275;10.6;1.998.606.805;2.329.325.713;2.515.312.539;1.575.498.759;na;na;na;na;17.256;na;na;na;na;1.232.816;1.576.775;1.651.112;1.846.431;1.670.517;1.690.267;2025.28
Quintay;10°C;500ppm;0.042;-190.371;-0.13;0.02;0.44;0.047;na;na;-1.904;na;na;na;na;na;na;8.103.375;32.725;10;2.345.651.721;21.950.814;3.491.862.634;218.445.449;na;na;na;na;28.584;na;na;na;na;na;na;na;na;na;na;na
Quintay;10°C;500ppm;0.025;-6.404;0.21;-0.01;0.12;0.088;na;na;-0.064;na;na;na;na;na;na;8.103.375;32.725;10;2.353.828.052;2.202.844.996;3.504.599.676;2.192.422.583;na;na;na;na;31.272;na;na;na;na;na;na;na;na;na;na;na
Quintay;10°C;500ppm;0.039;7.819;0.1;-0.01;0.03;0.048;na;na;0.078;na;na;na;na;na;na;803.425;32.775;10.8;2.316.854.763;2.522.150.603;3.080.715.667;1.927.473.107;na;na;na;na;16.776;na;na;na;na;na;na;na;na;na;na;na
Quintay;10°C;500ppm;0.022;97.585;0.05;0.03;-0.54;0.025;na;na;0.976;na;na;na;na;na;na;8.006.666.667;3.303.333.333;10.7;2.293.016.645;2.692.673.683;288.389.231;1.805.398.039;na;na;na;na;31.596;na;na;na;na;na;na;na;na;na;na;na
Chiloé;10°C;500ppm;0.007;234.135;0.06;0.27;0.5;0.012;0.216;0.104;2.341;0.017;0.002;na;na;na;na;7.937;30.87;11.19;2.969.165.676;5.977.074.997;3.731.358.216;2.356.936.757;0.003;0.637;0.001;0.018;30.78;255.306;15.716;0.062;0.933;1.266.591;1.319.915;1.310.796;837.75;1.576.775;1.357.358;1.310.796
Chiloé;10°C;500ppm;0.008;137.122;0.11;0.08;0.31;0.016;0.24;0.127;1.371;0.013;0.001;0.983;159.172;0.186;33.031;7.937;30.87;11.19;2.146.492.518;4.307.197.137;2.670.750.188;1.686.996.778;0.004;0.851;0.002;0.02;13.776;533.752;38.24;0.074;0.886;1.315.344;1371.81;1.765.762;1.594.881;1.924.661;1.677.062;1.411.499
Chiloé;10°C;500ppm;0.006;177.267;0.4;0.21;0.02;0.001;0.322;0.224;1.773;0.023;0.002;0.9;391.08;0.159;59.026;7.937;30.87;11.19;3.607.929.733;7.272.231.326;4.555.709.065;2.877.643.348;0.012;0.744;0.006;0.04;33.768;429.905;84.165;0.201;0.858;1.644.718;1.570.808;1.442.407;1.468.945;1.447.657;1362.15;1.496.223
Chiloé;10°C;500ppm;0.003;-2.457;0.04;-0.28;0.17;0.007;0.418;0.092;-0.025;0.006;0.001;0.813;467.655;0.164;75.817;7.937;30.87;11.19;2.440.439.834;4.904.181.459;3.049.521.555;1.926.250.182;0.022;0.834;0.01;0.174;44.868;535.589;39.705;0.076;0.922;1.547.276;1787.23;1.772.875;1.613.301;1.564.875;1.253.765;1.737.735
Chiloé;10°C;500ppm;-0.001;76.8;0.07;0.53;0.03;0.022;0.312;0.061;0.768;0.004;0;0.976;524.61;0.129;72.258;7.937;30.87;11.19;3.423.130.557;6.897.620.974;4.317.165.812;2.726.965.946;0.01;0.761;0.005;0.119;31.368;645.202;88.041;0.141;0.87;1.452.935;1.651.112;1.600.986;1.751.664;1.751.664;1.730.832;1.730.832
Chiloé;10°C;500ppm;0.005;128.854;0.06;0.39;0.61;0.013;0.224;0.046;1.289;0.003;0;na;na;na;na;7.937;30.87;11.19;2.486.665.072;4.998.023.547;3.109.108.282;1.963.888.527;0.006;0.508;0.003;0.096;na;223.503;18.465;0.086;0.881;1.884.937;1.794.473;2.115.281;1.892.783;1.794.473;1877.14;1.816.469
Chiloé;10°C;500ppm;0.003;116.415;0.23;0.34;0.17;0.005;0.284;0.078;1.164;0.009;0.001;0.913;177.391;0.169;33.193;7.937;30.87;11.19;3.979.821.549;8.025.931.038;5.035.857.696;3.180.932.362;na;na;na;na;na;414.029;78.796;0.19;0.742;1.541.475;1.765.762;1.854.037;2.016.597;1.908.622;1.990.881;1.838.871
Chiloé;10°C;500ppm;0.006;80.337;0.22;0.28;0.08;0.006;0.292;0.067;0.803;0.006;0.001;0.947;694.028;0.119;78.621;7.937;30.87;11.19;2.405.764.693;4.833.781.102;3.004.827.156;1.898.018.673;0.011;0.616;0.005;0.121;na;274.336;21.633;0.081;0.86;876.097;1.036.488;1008.37;1.039.684;1.249.532;1.301.772;1.329.129
Chiloé;10°C;500ppm;-0.009;127.77;0.03;0.37;0.07;0.014;0.278;0.126;1.278;0.013;0.002;0.992;293.081;0.125;38.523;7.937;30.87;11.19;4.155.348.465;8.381.598.067;5.262.520.189;3.324.105.205;0.023;0.921;0.01;0.127;na;659.626;114.785;0.18;0.904;1.343.132;1.576.775;1.576.775;1.564.875;1.558.975;1501.77;1.547.276
Chiloé;10°C;500ppm;-0.026;232.685;0.06;0.15;0.57;0.002;0.372;0.156;2.327;0.019;0.001;0.989;236.579;0.192;49.093;7.937;30.87;11.19;3.019.735.276;6.079.644.367;3.796.599.736;2.398.146.988;0.016;0.723;0.007;0.071;7.404;874.893;166.048;0.195;0.974;1.416.581;1.479.766;1.411.499;1.518.596;1.541.475;1.570.808;1.507.348
Chiloé;10°C;500ppm;0.003;13.024;0;0.04;0.02;0.007;0.25;0.092;0.13;0.009;0.001;0.844;396.523;0.099;37.907;7.937;30.87;11.19;2.969.165.676;5.977.074.997;3.731.358.216;2.356.936.757;0.007;0.862;0.003;0.058;21;574.794;78.503;0.144;0.95;1.535.707;1.644.718;1.632.042;1.306.273;1362.15;2025.28;1.758.692
Chiloé;10°C;500ppm;0.006;261.059;0.13;0.59;0.64;0.019;0.192;0.069;2.611;0.009;0.001;na;na;na;na;7.937;30.87;11.19;2.146.492.518;4.307.197.137;2.670.750.188;1.686.996.778;0.004;0.524;0.002;0.047;16.92;266.595;19.869;0.075;0.923;1.670.517;1.632.042;1.696.928;1.600.986;1.192.465;2.042.815;1.974.009
Chiloé;10°C;500ppm;0.004;172.488;0.06;0.32;0.69;0.004;0.186;0.069;1.725;0.005;0;0.933;389.717;0.107;40.655;7.937;30.87;11.19;3.607.929.733;7.272.231.326;4.555.709.065;2.877.643.348;0.007;0.679;0.003;0.075;10.332;364.872;25.154;0.073;0.951;1.426.827;1.236.964;1.496.223;1.512.956;1.386.495;1.479.766;1.524.268
Chiloé;10°C;500ppm;0.002;206.728;0.13;0.21;1.01;-0.003;0.352;0.074;2.067;0.006;0.001;0.845;287.862;0.182;51.503;7.937;30.87;11.19;2.440.439.834;4.904.181.459;3.049.521.555;1.926.250.182;0.01;0.594;0.005;0.096;8.94;473.241;70.751;0.155;0.943;1.744.679;1.823.891;1.990.881;1.677.062;1.900.678;1.710.369;1.780.031
Chiloé;10°C;500ppm;0.003;220.686;0.35;0.46;1.12;0.006;0.198;0.044;2.207;0.004;0.001;0.989;496.613;0.116;57.171;7.937;30.87;11.19;3.423.130.557;6.897.620.974;4.317.165.812;2.726.965.946;0.007;0.533;0.003;0.114;51.528;310.392;39.058;0.125;0.878;1.381.574;1.366.967;1.306.273;1.507.348;1.564.875;1.638.362;1.600.986
